Offer_Id;Type;Price_Raw;HP_Raw;Init_Regist;Mileage_Raw;Fuel_Type;Transmission;Description
7511828;AUDI RS3 2.5 TSI quattro S-tronic (Limousine);CHF 59'800.–;400 PS;5.2018;32'000 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 2'480 cm3 Zylinder: 5 Letzte Prüfung: 25.05.2019 Aussenfarbe: schwarz mét. Türen: 4 Sitze: 5 Leergewicht: 1'675 kg Fahrgestell-Nr.: WU AZZ Z8V XJ1 907 063 Typenschein: 1AF395 Neupreis: CHF 75'000.– Fahrzeugart: Occasion
7511730;VW Golf 2.0 TSI R 4Motion (Limousine);CHF 34'500.–;301 PS;4.2016;56'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'984 cm3 Zylinder: 4 Letzte Prüfung: 26.11.2019 Aussenfarbe: blau mét. Türen: 5 Sitze: 5 Leergewicht: 1'685 kg Typenschein: 1VF420 Fahrzeugart: Occasion Tuning: Ja
7511638;MERCEDES-BENZ A 250 Sport 4Matic 7G-DCT (Limousine);CHF 28'900.–;218 PS;5.2017;53'000 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'991 cm3 Zylinder: 4 Anhängelast gebremst: 1'500 kg Aussenfarbe: schwarz mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'505 kg Typenschein: 1MG638 Neupreis: CHF 56'013.– Fahrzeugart: Occasion
7510626;BMW 1er M Coupé (Coupé);CHF 44'999.–;340 PS;6.2012;50'500 km;Benzin;Schaltgetriebe manuell;Hubraum: 2'979 cm3 Zylinder: 6 Letzte Prüfung: 17.04.2019 Aussenfarbe: weiss mét. Innenfarbe: schwarz Türen: 2 Sitze: 4 Leergewicht: 1'570 kg Typenschein: 1BC148 Fahrzeugart: Occasion Tuning: Ja
7407798;AUDI RS3 2.5 TSI quattro S-tronic (Limousine);CHF 48'500.–;400 PS;9.2018;51'000 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 2'480 cm3 Zylinder: 5 Aussenfarbe: schwarz mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'670 kg Neupreis: CHF 84'000.– Fahrzeugart: Occasion
7511040;BMW M4 Cabriolet DKG (Cabriolet);CHF 77'800.–;431 PS;9.2018;14'500 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 2'979 cm3 Zylinder: 6 Anhängelast gebremst: 1'800 kg Letzte Prüfung: 11.04.2019 Aussenfarbe: weiss Innenfarbe: schwarz Türen: 2 Sitze: 4 Leergewicht: 1'865 kg Fahrgestell-Nr.: WBS 4Z9 106 0ED2 1680 Typenschein: 1BJ929M Neupreis: CHF 125'150.– Fahrzeugart: Occasion Tuning: Ja
7452216;MERCEDES-BENZ GLE 250 d 4Matic 9G-Tronic (SUV / Geländewagen);CHF 31'500.–;204 PS;1.2016;107'500 km;Diesel;Automat sequentiell;Hubraum: 2'143 cm3 Zylinder: 4 Anhängelast gebremst: 2'950 kg Aussenfarbe: weiss Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 2'160 kg Fahrgestell-Nr.: WDC1660041A620057 Typenschein: 1MG557 Fahrzeugart: Occasion
7355685;AUDI A7 Sportback 3.0 TFSI quattro S-tronic (Limousine);CHF 19'900.–;310 PS;7.2012;149'500 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 2'995 cm3 Zylinder: 6 Anhängelast gebremst: 2'100 kg Letzte Prüfung: 07.08.2019 Aussenfarbe: schwarz Türen: 5 Sitze: 4 Leergewicht: 1'860 kg Typenschein: 1AC919 Fahrzeugart: Occasion
7328315;BMW X3 xDrive 20d (SUV / Geländewagen);CHF 19'900.–;184 PS;11.2013;137'000 km;Diesel;Automat;Hubraum: 1'995 cm3 Zylinder: 4 Anhängelast gebremst: 2'000 kg Aussenfarbe: schwarz mét. Innenfarbe: beige Türen: 5 Sitze: 5 Leergewicht: 1'800 kg Fahrgestell-Nr.: WBA WY3 10X 00F 194 15 Typenschein: 1BE777 Fahrzeugart: Occasion
7510896;DS AUTOMOBILES DS3 Cabrio 1.6 THP Sport Chic (Cabriolet);CHF 8'800.–;156 PS;3.2013;67'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'598 cm3 Zylinder: 4 Anhängelast gebremst: 1'150 kg Letzte Prüfung: 01.12.2017 Aussenfarbe: grau mét. Innenfarbe: blau Türen: 2 Sitze: 5 Leergewicht: 1'231 kg Typenschein: 1CE763M Fahrzeugart: Occasion
7509998;MERCEDES-BENZ S 500 4Matic 7G-Tronic (Limousine);CHF 52'000.–;455 PS;8.2014;76'000 km;Benzin;Automat sequentiell;Hubraum: 4'663 cm3 Zylinder: 8 Anhängelast gebremst: 2'100 kg Aussenfarbe: blau mét. Innenfarbe: beige Türen: 4 Sitze: 5 Leergewicht: 2'070 kg Fahrgestell-Nr.: WDD2220851A112278 Typenschein: 1MF577 Neupreis: CHF 220'000.– Fahrzeugart: Occasion
7450524;KIA Ceed Sporty Wagon 1.4 16V Basic (Kleinwagen);CHF 3'000.–;90 PS;10.201;165'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'396 cm3 Zylinder: 4 Anhängelast gebremst: 1'200 kg Letzte Prüfung: 14.12.2017 Aussenfarbe: silber Türen: 5 Sitze: 5 Leergewicht: 1'399 kg Fahrgestell-Nr.: U5YHB511AAL195290 Fahrzeugart: Occasion
7487570;AUDI S3 Sportback 2.0 TFSI quattro (Limousine);CHF 16'999.–;265 PS;9.2011;74'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'984 cm3 Zylinder: 4 Letzte Prüfung: 10.05.2019 Aussenfarbe: weiss Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'570 kg Fahrgestell-Nr.: WA UZZ Z8P 5CA 052 867 Fahrzeugart: Occasion
7493778;JAGUAR F-Pace 2.0d Prestige AWD Automatik (SUV / Geländewagen);CHF 29'999.–;180 PS;4.2017;69'450 km;Diesel;Automat sequentiell;Hubraum: 1'999 cm3 Zylinder: 4 Letzte Prüfung: 07.04.2017 Aussenfarbe: weiss mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'775 kg Fahrgestell-Nr.: SADCA2BN3HA497313 Typenschein: 1XQ462 Neupreis: CHF 65'000.– Fahrzeugart: Occasion
7467442;BMW 535i xDrive Luxury Line Steptronic (Limousine);CHF 28'750.–;306 PS;11.2013;91'000 km;Benzin;Automat sequentiell;Hubraum: 2'979 cm3 Zylinder: 6 Anhängelast gebremst: 2'000 kg Letzte Prüfung: 18.04.2018 Aussenfarbe: weiss Innenfarbe: braun Türen: 4 Sitze: 5 Leergewicht: 1'840 kg Fahrgestell-Nr.: WBA5B31020D028288 Typenschein: 1BD390 Neupreis: CHF 107'580.– Fahrzeugart: Occasion
7427995;VW Scirocco 1.4 TSI DSG (Coupé);CHF 6'200.–;160 PS;6.2009;202'000 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'390 cm3 Zylinder: 4 Letzte Prüfung: 25.02.2019 Aussenfarbe: braun mét. Innenfarbe: mehrfarbig Türen: 3 Sitze: 4 Leergewicht: 1'360 kg Fahrgestell-Nr.: WVWZZZ13ZAV402059 Fahrzeugart: Occasion
7510237;FERRARI 348 ts (Cabriolet);CHF 54'900.–;286 PS;12.1992;32'900 km;Benzin;Schaltgetriebe manuell;Hubraum: 3'402 cm3 Zylinder: 8 Letzte Prüfung: 12.09.2019 Aussenfarbe: rot Innenfarbe: beige Türen: 2 Sitze: 2 Leergewicht: 1'450 kg Typenschein: 1F1015 Fahrzeugart: Occasion
7510248;MERCEDES-BENZ ML 63 AMG 4Matic 7G-Tronic (SUV / Geländewagen);CHF 19'500.–;510 PS;8.2006;170'000 km;Benzin;Automat sequentiell;Hubraum: 6'209 cm3 Zylinder: 8 Anhängelast gebremst: 3'500 kg Letzte Prüfung: 30.01.2020 Aussenfarbe: schwarz Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 2'310 kg Typenschein: 1MD496 Fahrzeugart: Occasion
7510212;AUDI A6 Avant 3.0 BiTDI V6 qu. competition tiptronic (Kombi);CHF 41'900.–;326 PS;1.2016;71'000 km;Diesel;Automat sequentiell;Hubraum: 2'967 cm3 Zylinder: 6 Anhängelast gebremst: 2'100 kg Letzte Prüfung: 05.11.2019 Aussenfarbe: grau Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 2'215 kg Typenschein: 1AD750 Neupreis: CHF 109'800.– Fahrzeugart: Occasion
7510203;FIAT 500 1.2 Lounge (Kleinwagen);CHF 7'500.–;70 PS;4.2015;33'622 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'242 cm3 Zylinder: 4 Anhängelast gebremst: 800 kg Letzte Prüfung: 21.02.2020 Aussenfarbe: weiss Türen: 3 Sitze: 4 Leergewicht: 940 kg Neupreis: CHF 14'500.– Fahrzeugart: Occasion
7509426;DODGE Challenger GT AWD (Coupé);CHF 40'000.–;309 PS;5.2019;30'000 km;Benzin;Automatik-Getriebe;Hubraum: 3'604 cm3 Zylinder: 6 Letzte Prüfung: 27.05.2019 Aussenfarbe: schwarz Innenfarbe: schwarz Türen: 3 Sitze: 5 Leergewicht: 1'945 kg Typenschein: X Fahrzeugart: Occasion
7509715;AUDI S3 Sedan 2.0 TFSI quattro S-tronic (Limousine);CHF 37'500.–;310 PS;2.2017;64'100 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'984 cm3 Zylinder: 4 Letzte Prüfung: 12.01.2018 Aussenfarbe: schwarz Türen: 4 Sitze: 5 Leergewicht: 1'640 kg Fahrgestell-Nr.: WAU ZZZ 8V1 H105 4122 Typenschein: 1AE973 Neupreis: CHF 76'130.– Fahrzeugart: Occasion
7509404;OPEL Insignia Sports Tourer 2.0 CDTI Cosmo 4WD Aut. (Kombi);CHF 18'500.–;170 PS;6.2016;96'000 km;Diesel;Automat sequentiell;Hubraum: 1'956 cm3 Zylinder: 4 Anhängelast gebremst: 2'000 kg Aussenfarbe: grau mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 2'073 kg Typenschein: 1OC226 Neupreis: CHF 53'000.– Fahrzeugart: Occasion
7510150;BMW 118i (Limousine);CHF 5'549.–;143 PS;6.2007;152'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'995 cm3 Zylinder: 4 Anhängelast gebremst: 1'200 kg Letzte Prüfung: 18.05.2018 Aussenfarbe: grau Türen: 5 Sitze: 5 Leergewicht: 1'375 kg Fahrgestell-Nr.: WBAUE51090PZ21006208 Typenschein: 1BB429 Fahrzeugart: Occasion
7510017;SEAT Leon 2.0 TSI World Champion Edition (Limousine);CHF 13'000.–;285 PS;6.2009;130'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'984 cm3 Zylinder: 4 Anhängelast gebremst: 1'400 kg Letzte Prüfung: 08.09.2017 Aussenfarbe: weiss Innenfarbe: mehrfarbig Türen: 5 Sitze: 5 Leergewicht: 1'450 kg Fahrgestell-Nr.: VSS ZZZ 1PZ 9R05 0726 Typenschein: 1SB908 Fahrzeugart: Occasion Tuning: Ja
7510044;VW Passat Variant 2.0 TDI BMT Comfortline 4M (Kombi);CHF 9'900.–;140 PS;12.2011;180'200 km;Diesel;Schaltgetriebe manuell;Hubraum: 1'968 cm3 Zylinder: 4 Anhängelast gebremst: 2'000 kg Letzte Prüfung: 03.03.2020 Aussenfarbe: blau Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'656 kg Typenschein: 1VE186 Fahrzeugart: Occasion
7503206;AUDI SQ5 3.0 TDI quattro tiptronic (SUV / Geländewagen);CHF 47'900.–;326 PS;8.2016;46'700 km;Diesel;Automat sequentiell;Hubraum: 2'967 cm3 Zylinder: 6 Anhängelast gebremst: 2'400 kg Letzte Prüfung: 01.11.2018 Aussenfarbe: schwarz mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 2'075 kg Neupreis: CHF 117'500.– Fahrzeugart: Occasion
7509999;MERCEDES-BENZ A 200 CDI Urban (Limousine);CHF 20'000.–;136 PS;1.2014;104'000 km;Diesel;Automat;Hubraum: 1'796 cm3 Zylinder: 4 Anhängelast gebremst: 1'500 kg Letzte Prüfung: 28.01.2020 Aussenfarbe: weiss Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'475 kg Fahrgestell-Nr.: WDD 176 001 1J23 2467 Typenschein: 1MF490 Neupreis: CHF 45'000.– Fahrzeugart: Occasion
7510025;RENAULT Scénic 1.5 dCi Bose EDC (Kompaktvan / Minivan);CHF 13'900.–;110 PS;9.2014;45'000 km;Diesel;Automatisiertes Schaltgetriebe;Hubraum: 1'461 cm3 Zylinder: 4 Anhängelast gebremst: 1'500 kg Letzte Prüfung: 30.04.2020 Aussenfarbe: schwarz mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'664 kg Typenschein: 1RC168 Fahrzeugart: Occasion
7509956;BMW X4 xDrive 30d Steptronic (SUV / Geländewagen);CHF 33'800.–;258 PS;6.2015;59'800 km;Diesel;Automat sequentiell;Hubraum: 2'993 cm3 Zylinder: 6 Anhängelast gebremst: 2'000 kg Aussenfarbe: schwarz mét. Türen: 5 Sitze: 5 Leergewicht: 1'895 kg Fahrgestell-Nr.: WBA XX3 108 00K 836 12 Typenschein: 1BG425 Neupreis: CHF 88'610.– Fahrzeugart: Occasion
7509943;RENAULT Koleos 2.0 dCi Edition One 4x4 Xtronic CVT (SUV / Geländewagen);CHF 23'800.–;177 PS;8.2017;45'000 km;Diesel;Automat stufenlos, sequentiell;Hubraum: 1'995 cm3 Zylinder: 4 Anhängelast gebremst: 1'650 kg Letzte Prüfung: 29.08.2017 Aussenfarbe: weiss Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'906 kg Typenschein: 1RC522 Neupreis: CHF 45'900.– Fahrzeugart: Occasion
7509947;SEAT Toledo 1.4 TSI Style DSG (Limousine);CHF 8'450.–;122 PS;3.2013;119'000 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'390 cm3 Zylinder: 4 Anhängelast gebremst: 1'200 kg Letzte Prüfung: 12.09.2019 Aussenfarbe: schwarz Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'230 kg Typenschein: 1SC280 Fahrzeugart: Occasion
7305781;FORD Galaxy 2.0 TDCi Titanium AWD PowerShift (Kompaktvan / Minivan);CHF 27'900.–;180 PS;1.2016;40'000 km;Diesel;Automatisiertes Schaltgetriebe;Hubraum: 1'997 cm3 Zylinder: 4 Anhängelast gebremst: 2'000 kg Aussenfarbe: schwarz mét. Innenfarbe: grau Türen: 5 Sitze: 7 Leergewicht: 1'881 kg Neupreis: CHF 62'200.– Fahrzeugart: Occasion
7509887;MERCEDES-BENZ SL 300 cabriolet (Cabriolet);CHF 44'000.–;188 PS;9.1985;106'000 km;Benzin;Automatik-Getriebe;Hubraum: 3'000 cm3 Zylinder: 6 Letzte Prüfung: 27.01.2020 Aussenfarbe: rot Innenfarbe: beige Türen: 2 Sitze: 2 Fahrgestell-Nr.: WDB 107 041 1A0 361 56 Typenschein: X Fahrzeugart: Occasion
7496116;VOLVO V60 T5 Summum Powershift (Kombi);CHF 15'950.–;240 PS;12.2011;72'000 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'999 cm3 Zylinder: 4 Anhängelast gebremst: 1'800 kg Letzte Prüfung: 21.02.2020 Aussenfarbe: blau mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'599 kg Fahrgestell-Nr.: YV1FW475BC1062486 Typenschein: 1VA831 Neupreis: CHF 70'700.– Fahrzeugart: Occasion
7509768;MERCEDES-BENZ 500 SL Automatic (Cabriolet);CHF 45'000.–;223 PS;1.1989;179'000 km;Benzin;Automat;Hubraum: 4'971 cm3 Zylinder: 8 Anhängelast gebremst: 1'500 kg Letzte Prüfung: 02.10.2017 Aussenfarbe: grau mét. Innenfarbe: braun Türen: 2 Sitze: 2 Leergewicht: 1'660 kg Fahrgestell-Nr.: WDB 107 046 1A09 6060 Typenschein: 1M2091X Fahrzeugart: Occasion
6900996;FORD MUSTANG 4.0 Premium (Limousine);CHF 17'900.–;215 PS;3.201;35'100 km;Benzin;Automatik-Getriebe;Hubraum: 4'009 cm3 Zylinder: 6 Letzte Prüfung: 11.03.2019 Aussenfarbe: schwarz Türen: 2 Sitze: 4 Leergewicht: 1'700 kg Fahrgestell-Nr.: 1ZV BP8 AN6 A51 665 54 Typenschein: X Fahrzeugart: Occasion
7509758;JEEP Renegade 2.0 MJ Trailhawk AWD + Low Range 9ATX (SUV / Geländewagen);CHF 24'900.–;170 PS;10.2018;28'000 km;Diesel;Automat sequentiell;Hubraum: 1'956 cm3 Zylinder: 4 Anhängelast gebremst: 1'500 kg Aussenfarbe: anthrazit mét. Innenfarbe: anthrazit Türen: 5 Sitze: 5 Leergewicht: 1'840 kg Typenschein: 1JB347 Fahrzeugart: Occasion
6792037;MINI Cooper S Cabriolet (Cabriolet);CHF 26'800.–;192 PS;4.2017;14'200 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'998 cm3 Zylinder: 4 Aussenfarbe: türkis mét. Innenfarbe: schwarz Türen: 2 Sitze: 4 Leergewicht: 1'540 kg Fahrgestell-Nr.: WMW WG7 105 03C4 2083 Typenschein: 1MQ430 Neupreis: CHF 48'700.– Fahrzeugart: Occasion
7509700;BMW Z4 3.0i Roadster (Cabriolet);CHF 11'000.–;231 PS;9.2003;99'020 km;Benzin;Schaltgetriebe manuell;Hubraum: 2'979 cm3 Zylinder: 6 Letzte Prüfung: 29.07.2019 Aussenfarbe: silber Innenfarbe: schwarz Türen: 2 Sitze: 2 Leergewicht: 1'385 kg Typenschein: 1BB197 Fahrzeugart: Occasion
7504402;AUDI RS4 Avant 4.2 V8 quattro (Kombi);CHF 16'400.–;420 PS;7.2007;162'500 km;Benzin;Schaltgetriebe manuell;Hubraum: 4'163 cm3 Zylinder: 8 Aussenfarbe: grau Türen: 5 Sitze: 5 Leergewicht: 1'880 kg Fahrgestell-Nr.: WUAZZZ8E28N900529 Typenschein: 1QA113 Fahrzeugart: Occasion
7416516;AUDI S3 Sedan 2.0 TFSI quattro S-tronic (Limousine);CHF 36'500.–;310 PS;10.2016;60'600 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'984 cm3 Zylinder: 4 Aussenfarbe: schwarz Innenfarbe: schwarz Türen: 4 Sitze: 5 Leergewicht: 1'640 kg Typenschein: 1AE973 Neupreis: CHF 77'470.– Fahrzeugart: Occasion
7509669;MERCEDES-BENZ Viano 3.0 CDI Blue Efficiency Fun L A (Kombi);CHF 45'000.–;224 PS;3.2012;57'000 km;Diesel;Automat;Hubraum: 2'987 cm3 Zylinder: 6 Anhängelast gebremst: 2'500 kg Aussenfarbe: grau mét. Türen: 4 Sitze: 5 Leergewicht: 1'976 kg Fahrzeugart: Occasion
7307922;MERCEDES-BENZ C 200 BlueTEC Avantgarde 7G-Tronic (Kombi);CHF 17'900.–;136 PS;1.2015;89'900 km;Diesel;Automat sequentiell;Hubraum: 1'598 cm3 Zylinder: 4 Anhängelast gebremst: 1'600 kg Letzte Prüfung: 15.01.2020 Aussenfarbe: weiss Türen: 5 Sitze: 5 Leergewicht: 1'580 kg Typenschein: 1MG169 Fahrzeugart: Occasion
7509581;MERCEDES-BENZ 220 220 S (Limousine);CHF 42'000.–;100 PS;9.1959;4'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 2'195 cm3 Zylinder: 6 Letzte Prüfung: 16.10.2015 Aussenfarbe: blau Innenfarbe: rot Türen: 4 Sitze: 6 Leergewicht: 1'330 kg Fahrgestell-Nr.: 180 010 109 5089 44 Typenschein: 2348A Wagen-Nr.: ZH Fahrzeugart: Oldtimer
7509538;AUDI A3 Sportback 1.4 e-tron Sport S-tronic (Limousine);CHF 24'800.–;204 PS;7.2017;19'500 km;Plug-in-Hybrid Benzin/Elektro;Automatisiertes Schaltgetriebe;Hubraum: 1'395 cm3 Zylinder: 4 Anhängelast gebremst: 1'400 kg Aussenfarbe: weiss mét. Türen: 5 Sitze: 5 Leergewicht: 1'720 kg Typenschein: 1AE991 Neupreis: CHF 67'675.– Fahrzeugart: Occasion
7509483;RENAULT Grand Scénic 1.3 16V Turbo Initiale Paris EDC (Kompaktvan / Minivan);CHF 35'900.–;160 PS;6.2019;9'900 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'332 cm3 Zylinder: 4 Anhängelast gebremst: 1'800 kg Letzte Prüfung: 26.06.2019 Aussenfarbe: blau mét. Türen: 5 Sitze: 7 Leergewicht: 1'707 kg Fahrgestell-Nr.: VF1RFA00062456216 Typenschein: 1RC839 Neupreis: CHF 45'500.– Fahrzeugart: Occasion
6467415;PORSCHE 911 SC (Coupé);CHF 71'900.–;188 PS;9.1979;93'000 km;Benzin;Schaltgetriebe;Hubraum: 3'000 cm3 Zylinder: 6 Aussenfarbe: weiss Innenfarbe: schwarz Türen: 2 Sitze: 2 Leergewicht: 1'150 kg Fahrgestell-Nr.: 91A0130033 Typenschein: 063744 Fahrzeugart: Occasion
7421929;MERCEDES-BENZ A 250 A 250 AMG Line 4Matic 7G-DCT 4Matic (Limousine);CHF 44'900.–;224 PS;4.2019;13'500 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'991 cm3 Zylinder: 4 Anhängelast gebremst: 1'800 kg Letzte Prüfung: 16.04.2019 Aussenfarbe: weiss mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'668 kg Typenschein: 1MH668 Neupreis: CHF 62'720.– Fahrzeugart: Occasion
7509389;VW T5 Multivan 2.0 TDI CR Startline (Bus);CHF 24'860.–;140 PS;7.2013;135'280 km;Diesel;Schaltgetriebe manuell;Hubraum: 1'968 cm3 Zylinder: 4 Anhängelast gebremst: 2'500 kg Letzte Prüfung: 01.01.2019 Aussenfarbe: weiss Innenfarbe: grau Türen: 4 Sitze: 7 Leergewicht: 2'464 kg Fahrgestell-Nr.: VVV2ZZZ7HZEH010412 Typenschein: ACAAC300XO Fahrzeugart: Occasion
7509365;AUDI S3 Sportback 2.0 TFSI quattro S-tronic (Limousine);CHF 15'500.–;311 PS;11.2009;165'000 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'984 cm3 Zylinder: 4 Letzte Prüfung: 15.11.2019 Aussenfarbe: silber mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'590 kg Fahrzeugart: Occasion Tuning: Ja
5448405;BMW Z3 2.2i Roadster (Cabriolet);CHF 9'500.–;170 PS;4.2001;113'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 2'171 cm3 Zylinder: 6 Letzte Prüfung: 22.11.2019 Aussenfarbe: blau mét. Innenfarbe: schwarz Türen: 2 Sitze: 2 Leergewicht: 1'395 kg Typenschein: 1BB119 Fahrzeugart: Occasion
