field_1;web-scraper-order;address_raw;lat;lon;bfs_number;bfs_name;rooms;area;luxurious;price;price_per_m2;pop;pop_dens;emp;frg_pct;mean_taxable_income;dist_supermarket
14;1693998205-43;Limmatstrasse 260, 8005 Zürich, ZH;47.38913345;8.525841713;261;Zürich;4.5;170;0;6600;38.82;420217;4778.994655;491193;32.45846789;82932.7377;389.9117136
15;1693998210-54;Hagenholzstrasse 100, 8050 Zürich, ZH;47.41421509;8.558320045;261;Zürich;4.5;141;0;3309;23.47;420217;4778.994655;491193;32.45846789;82932.7377;466.7456256
16;1693998210-58;Lehenstrasse 51, 8037 Zürich, ZH;47.39653015;8.52335453;261;Zürich;1.5;35;0;1740;49.71;420217;4778.994655;491193;32.45846789;82932.7377;454.0410436
17;1693998210-61;Aprikosenstrasse 5, 8051 Zürich, ZH;47.40581894;8.570385933;261;Zürich;1;23;0;1590;69.13;420217;4778.994655;491193;32.45846789;82932.7377;161.2276783
18;1693998210-72;Herbstweg 57, 8050 Zürich, ZH;47.406353;8.561315536;261;Zürich;3.5;71;0;2650;37.32;420217;4778.994655;491193;32.45846789;82932.7377;547.0853712
19;1693998214-78;8004 Zürich, ZH;47.38041687;8.525351524;261;Zürich;2.5;45;0;2520;56;420217;4778.994655;491193;32.45846789;82932.7377;380.2843078
22;1693998214-84;Zentralstrasse 37, 8003 Zürich, ZH;47.37150574;8.519575119;261;Zürich;2.5;75;0;6590;87.87;420217;4778.994655;491193;32.45846789;82932.7377;158.7462782
23;1693998214-87;8049 Zürich, ZH;47.40711594;8.494709969;261;Zürich;2;70;0;1625;23.21;420217;4778.994655;491193;32.45846789;82932.7377;417.8887254
24;1693998214-93;Bucheggstrasse 130, 8057 Zürich, ZH;47.39831924;8.538369179;261;Zürich;1.5;35;0;1800;51.43;420217;4778.994655;491193;32.45846789;82932.7377;329.1957632
25;1693998219-114;Forchstrasse 84, 8008 Zürich, ZH;47.36206818;8.55924511;261;Zürich;2;62;0;2970;47.9;420217;4778.994655;491193;32.45846789;82932.7377;362.7463771
26;1693998219-118;8002 Zürich, ZH;47.3610611;8.532576561;261;Zürich;8.5;210;0;8500;40.48;420217;4778.994655;491193;32.45846789;82932.7377;356.7662975
27;1693998219-119;Freudenbergstrasse, 8044 Zürich, ZH;47.37955475;8.559854507;261;Zürich;2.5;90;0;3130;34.78;420217;4778.994655;491193;32.45846789;82932.7377;34.78782878
28;1693998224-123;Keltenstrasse 12, 8044 Zürich, ZH;47.37654877;8.561196327;261;Zürich;1.5;63;0;2980;47.3;420217;4778.994655;491193;32.45846789;82932.7377;121.853969
29;1693998224-131;Hagenholzstrasse 59, 8050 Zürich, ZH;47.41465759;8.555407524;261;Zürich;1.5;24;0;1960;81.67;420217;4778.994655;491193;32.45846789;82932.7377;528.4539146
30;1693998224-133;Forchstrasse 150, 8032 Zürich, ZH;47.36029434;8.56423378;261;Zürich;2.5;64;1;2560;40;420217;4778.994655;491193;32.45846789;82932.7377;65.78911796
31;1693998224-138;Pfingstweidstrasse 98, 8005 Zürich, ZH;47.39064026;8.510338783;261;Zürich;1.5;81;0;3131;38.65;420217;4778.994655;491193;32.45846789;82932.7377;138.5646589
32;1693998224-143;Mühlebachstr. 28, 8008 Zürich, ZH;47.36485672;8.550126076;261;Zürich;4.5;128;0;5710;44.61;420217;4778.994655;491193;32.45846789;82932.7377;189.7160462
33;1693998228-146;Vulkanstrasse 110c, 8048 Zürich, ZH;47.39374924;8.484014511;261;Zürich;3;100;0;4800;48;420217;4778.994655;491193;32.45846789;82932.7377;23.53214217
34;1693998228-148;8004 Zürich, ZH;47.38041687;8.525351524;261;Zürich;2.5;48;0;3360;70;420217;4778.994655;491193;32.45846789;82932.7377;380.2843078
35;1693998228-156;8046 Zürich, ZH;47.41517258;8.527069092;261;Zürich;4;90;0;3550;39.44;420217;4778.994655;491193;32.45846789;82932.7377;409.2647026
36;1693998228-158;Hildastrasse 1, 8004 Zürich, ZH;47.37620163;8.516153336;261;Zürich;2;21;0;1990;94.76;420217;4778.994655;491193;32.45846789;82932.7377;107.2194663
37;1693998228-161;8046 Zürich, ZH;47.41517258;8.527069092;261;Zürich;3;80;0;3350;41.88;420217;4778.994655;491193;32.45846789;82932.7377;409.2647026
38;1693998228-163;8032 Zürich, ZH;47.3658638;8.552139282;261;Zürich;7;180;0;6300;35;420217;4778.994655;491193;32.45846789;82932.7377;191.0699415
39;1693998233-177;Bucheggstrasse 130, 8057 Zürich, ZH;47.39831924;8.538369179;261;Zürich;4.5;119;0;4360;36.64;420217;4778.994655;491193;32.45846789;82932.7377;329.1957632
40;1693998233-178;Bucheggstrasse 130, 8057 Zürich, ZH;47.39831924;8.538369179;261;Zürich;3;58;0;2400;41.38;420217;4778.994655;491193;32.45846789;82932.7377;329.1957632
41;1693998233-184;Kelchweg 1, 8048 Zürich, ZH;47.38985443;8.480420113;261;Zürich;2.5;69;0;2290;33.19;420217;4778.994655;491193;32.45846789;82932.7377;411.7614207
42;1693998233-191;Am Holbrig 2, 8049 Zürich, ZH;47.40501404;8.49571991;261;Zürich;3.5;90;0;1750;19.44;420217;4778.994655;491193;32.45846789;82932.7377;183.9936555
43;1693998236-193;Wolframplatz 1, 8045 Zürich, ZH;47.3622818;8.522192955;261;Zürich;2;41;0;3930;95.85;420217;4778.994655;491193;32.45846789;82932.7377;301.5658969
44;1693998236-197;Utoquai 37, 8008 Zürich, ZH;47.36368179;8.546780586;261;Zürich;3.5;169;0;9000;53.25;420217;4778.994655;491193;32.45846789;82932.7377;241.4981733
45;1693998236-204;Badenerstrasse 123, 8004 Zürich, ZH;47.37415695;8.523697853;261;Zürich;4;98;0;3491;35.62;420217;4778.994655;491193;32.45846789;82932.7377;85.24603617
46;1693998236-207;Etzelstrasse 35, 8038 Zürich, ZH;47.34654617;8.530694962;261;Zürich;3.5;100;1;9150;91.5;420217;4778.994655;491193;32.45846789;82932.7377;206.9851175
47;1693998236-208;Rosengartenstrasse 55, 8037 Zürich, ZH;47.39588928;8.529163361;261;Zürich;2.5;65;0;5900;90.77;420217;4778.994655;491193;32.45846789;82932.7377;242.5485231
48;1693998236-209;Eidmattstrasse 38, 8032 Zürich, ZH;47.36497498;8.560164452;261;Zürich;2.5;70;0;5900;84.29;420217;4778.994655;491193;32.45846789;82932.7377;320.1844271
49;1693998240-228;St. Urbangasse 8, 8001 Zürich, ZH;47.36716461;8.546512604;261;Zürich;3.5;81;0;3893;48.06;420217;4778.994655;491193;32.45846789;82932.7377;33.57330187
50;1693998240-229;Hagenholzstrasse 59, 8050 Zürich, ZH;47.41465759;8.555407524;261;Zürich;1.5;24;0;1960;81.67;420217;4778.994655;491193;32.45846789;82932.7377;528.4539146
51;1693998240-231;Susenbergstrasse 142, 8044 Zürich, ZH;47.38476181;8.559498787;261;Zürich;3.5;78;0;2970;38.08;420217;4778.994655;491193;32.45846789;82932.7377;597.8336011
52;1693998243-246;Albisstrasse 9, 8038 Zürich, ZH;47.34455872;8.533279419;261;Zürich;1;15;0;995;66.33;420217;4778.994655;491193;32.45846789;82932.7377;193.8236472
53;1693998243-247;Haldenstrasse, 8045 Zürich, ZH;47.36302185;8.518438339;261;Zürich;2.5;50;0;2720;54.4;420217;4778.994655;491193;32.45846789;82932.7377;282.6860112
54;1693998243-249;Badenerstrasse 841, 8048 Zürich, ZH;47.39337921;8.472841263;261;Zürich;2.5;96;0;3250;33.85;420217;4778.994655;491193;32.45846789;82932.7377;401.1527014
55;1693998243-253;Lindenbachstrasse 52, 8006 Zürich, ZH;47.38967896;8.536903381;261;Zürich;3.5;65;0;3030;46.62;420217;4778.994655;491193;32.45846789;82932.7377;339.5906484
56;1693998243-258;Limmatstrasse 260, 8005 Zürich, ZH;47.38913345;8.525841713;261;Zürich;3.5;146;0;5550;38.01;420217;4778.994655;491193;32.45846789;82932.7377;389.9117136
57;1693998247-265;8053 Zürich, ZH;47.35861588;8.578998566;261;Zürich;4.5;174;0;7900;45.4;420217;4778.994655;491193;32.45846789;82932.7377;499.5722125
58;1693998247-266;Heidwiesen 19, 8051 Zürich, ZH;47.40749359;8.57597065;261;Zürich;4.5;100;0;3500;35;420217;4778.994655;491193;32.45846789;82932.7377;339.8735265
59;1693998247-267;8002 Zürich, ZH;47.3610611;8.532576561;261;Zürich;2.5;89;0;3900;43.82;420217;4778.994655;491193;32.45846789;82932.7377;356.7662975
60;1693998247-271;Altstetterstrasse 288, 8047 Zürich, ZH;47.37856674;8.483046532;261;Zürich;3.5;64;0;2085;32.58;420217;4778.994655;491193;32.45846789;82932.7377;297.0429823
61;1693998247-284;Glatttalstrasse 163, 8052 Zürich, ZH;47.43130493;8.543539047;261;Zürich;1.5;31;0;1600;51.61;420217;4778.994655;491193;32.45846789;82932.7377;827.7883854
62;1693998247-286;8053 Zürich, ZH;47.35861588;8.578998566;261;Zürich;2.5;60;0;2780;46.33;420217;4778.994655;491193;32.45846789;82932.7377;499.5722125
63;1693998247-288;Oberwiesenstrasse 67, 8050 Zürich, ZH;47.4116745;8.531891823;261;Zürich;2.5;66;0;2567;38.89;420217;4778.994655;491193;32.45846789;82932.7377;291.7740465
64;1693998252-289;Hammerstrasse 54b, 8032 Zürich, ZH;47.36020279;8.562192917;261;Zürich;4.5;126;0;4000;31.75;420217;4778.994655;491193;32.45846789;82932.7377;92.4824388
65;1693998252-292;Scheideggstrasse 70, 8002 Zürich, ZH;47.35327148;8.528915405;261;Zürich;7.5;205;0;5395;26.32;420217;4778.994655;491193;32.45846789;82932.7377;607.0103413
66;1693998252-299;8048 Zürich, ZH;47.38897705;8.486362457;261;Zürich;3.5;85;0;3499;41.16;420217;4778.994655;491193;32.45846789;82932.7377;47.27452309
67;1693998252-300;8055 Zürich, ZH;47.36334991;8.505910873;261;Zürich;1.5;40;0;2142;53.55;420217;4778.994655;491193;32.45846789;82932.7377;268.3382215
68;1693998252-301;Friesenbergstrasse 221, 8055 Zürich, ZH;47.36202621;8.504245758;261;Zürich;3.5;70;0;4110;58.71;420217;4778.994655;491193;32.45846789;82932.7377;219.5558244
69;1693998252-303;Fritz-Fleiner-Weg, 8044 Zürich, ZH;47.38193512;8.560834885;261;Zürich;3;100;0;4200;42;420217;4778.994655;491193;32.45846789;82932.7377;301.7670413
70;1693998252-308;Rosengartenstrasse 55, 8037 Zürich, ZH;47.39588928;8.529163361;261;Zürich;2.5;75;0;6900;92;420217;4778.994655;491193;32.45846789;82932.7377;242.5485231
71;1693998252-309;8046 Zürich, ZH;47.41517258;8.527069092;261;Zürich;2.5;58;0;1685;29.05;420217;4778.994655;491193;32.45846789;82932.7377;409.2647026
72;1693998252-311;Friedrichstrasse 24, 8051 Zürich, ZH;47.40500641;8.569589615;261;Zürich;1.5;41;0;1910;46.59;420217;4778.994655;491193;32.45846789;82932.7377;174.6084865
73;1693998256-317;Vulkanstrasse 110c, 8048 Zürich, ZH;47.39374924;8.484014511;261;Zürich;3.5;93;0;4800;51.61;420217;4778.994655;491193;32.45846789;82932.7377;23.53214217
74;1693998256-328;Albisstrasse 10, 8038 Zürich, ZH;47.34488678;8.533081055;261;Zürich;4;95;0;2583;27.19;420217;4778.994655;491193;32.45846789;82932.7377;255.6448703
75;1693998256-332;Wolframplatz 1, 8045 Zürich, ZH;47.3622818;8.522192955;261;Zürich;2;57;0;4822;84.6;420217;4778.994655;491193;32.45846789;82932.7377;301.5658969
76;1693998261-340;Hofwiesenstrasse 165, 8057 Zürich, ZH;47.40107727;8.533770561;261;Zürich;3.5;114;0;4100;35.96;420217;4778.994655;491193;32.45846789;82932.7377;260.458045
77;1693998261-342;8004 Zürich, ZH;47.38041687;8.525351524;261;Zürich;2.5;50;0;2900;58;420217;4778.994655;491193;32.45846789;82932.7377;380.2843078
78;1693998261-347;8032 Zürich, ZH;47.3658638;8.552139282;261;Zürich;4.5;146;0;5900;40.41;420217;4778.994655;491193;32.45846789;82932.7377;191.0699415
79;1693998261-349;Zimmergasse 8, 8008 Zürich, ZH;47.36309052;8.550751686;261;Zürich;2;60;0;3900;65;420217;4778.994655;491193;32.45846789;82932.7377;63.17028745
80;1693998261-352;Auhofstrasse 5, 8051 Zürich, ZH;47.40662766;8.568728447;261;Zürich;3.5;84;0;2320;27.62;420217;4778.994655;491193;32.45846789;82932.7377;314.1041549
81;1693998261-353;Witikonerstrasse 54, 8032 Zürich, ZH;47.36197662;8.568775177;261;Zürich;2.5;60;0;2383;39.72;420217;4778.994655;491193;32.45846789;82932.7377;523.4921884
82;1693998261-354;Seestrasse 25, 8002 Zürich, ZH;47.36352921;8.531552315;261;Zürich;2.5;66;0;3145;47.65;420217;4778.994655;491193;32.45846789;82932.7377;75.85800139
83;1693998265-363;Zurlindenstrasse, 8003 Zürich, ZH;47.36738968;8.523022652;261;Zürich;4;92;0;3495;37.99;420217;4778.994655;491193;32.45846789;82932.7377;318.7137356
84;1693998265-364;Seefeldstrasse, 8008 Zürich, ZH;47.36523819;8.548137665;261;Zürich;2;53;0;2525;47.64;420217;4778.994655;491193;32.45846789;82932.7377;49.45260446
85;1693998265-365;Gustav-Gull-Platz 4, 8004 Zürich, ZH;47.37947083;8.5311203;261;Zürich;4.5;140;0;9950;71.07;420217;4778.994655;491193;32.45846789;82932.7377;221.4334619
86;1693998265-366;Engweg 8, 8006 Zürich, ZH;47.38526535;8.537631989;261;Zürich;4.5;140;0;9170;65.5;420217;4778.994655;491193;32.45846789;82932.7377;548.9931319
87;1693998265-368;Zollikerstrasse 227, 8008 Zürich, ZH;47.34885406;8.565671921;261;Zürich;2.5;75;1;6900;92;420217;4778.994655;491193;32.45846789;82932.7377;709.0437689
88;1693998265-369;Gotthelfstrasse 41, 8003 Zürich, ZH;47.36850739;8.521334648;261;Zürich;4.5;115;0;8490;73.83;420217;4778.994655;491193;32.45846789;82932.7377;202.5323106
89;1693998265-373;Forchstrasse 84, 8008 Zürich, ZH;47.36206818;8.55924511;261;Zürich;2.5;53;0;3730;70.38;420217;4778.994655;491193;32.45846789;82932.7377;362.7463771
90;1693998272-387;Sonnhaldenstrasse 2, 8032 Zürich, ZH;47.36660385;8.561936378;261;Zürich;3;60;0;2800;46.67;420217;4778.994655;491193;32.45846789;82932.7377;160.1081362
91;1693998272-388;Plattenstr. 34, 8032 Zürich, ZH;47.37311554;8.553730965;261;Zürich;4.5;165;0;6293;38.14;420217;4778.994655;491193;32.45846789;82932.7377;397.4920559
92;1693998272-389;Luegislandstrasse 80, 8051 Zürich, ZH;47.40677643;8.568400383;261;Zürich;3;97;0;2420;24.95;420217;4778.994655;491193;32.45846789;82932.7377;343.6763356
93;1693998272-390;Limmattalstrasse 244, 8049 Zürich, ZH;47.40287018;8.493392944;261;Zürich;2;43;0;1830;42.56;420217;4778.994655;491193;32.45846789;82932.7377;325.4869469
94;1693998272-392;Grubenackerstrasse 71, 8052 Zürich, ZH;47.41893387;8.552834511;261;Zürich;2;46;0;2380;51.74;420217;4778.994655;491193;32.45846789;82932.7377;302.8409284
95;1693998272-393;Grubenackerstrasse 71, 8052 Zürich, ZH;47.41893387;8.552834511;261;Zürich;1;28;0;1880;67.14;420217;4778.994655;491193;32.45846789;82932.7377;302.8409284
96;1693998272-402;Max Bill Platz 5, 8050 Zürich, ZH;47.4138031;8.539403915;261;Zürich;2;122;0;3190;26.15;420217;4778.994655;491193;32.45846789;82932.7377;29.0010272
97;1693998272-404;Kalkbreitestrasse 117, 8003 Zürich, ZH;47.37115097;8.5154562;261;Zürich;1;18;0;820;45.56;420217;4778.994655;491193;32.45846789;82932.7377;49.98834938
98;1693998276-412;Am Holbrig 12, 8049 Zürich, ZH;47.40464401;8.496613503;261;Zürich;3.5;93;0;2750;29.57;420217;4778.994655;491193;32.45846789;82932.7377;108.5993801
99;1693998276-415;Bergstrasse 76, 8032 Zürich, ZH;47.37108994;8.562350273;261;Zürich;7;170;0;6400;37.65;420217;4778.994655;491193;32.45846789;82932.7377;381.6235599
100;1693998276-421;Seestrasse 27, 8002 Zürich, ZH;47.36330032;8.531541824;261;Zürich;3.5;126;0;6575;52.18;420217;4778.994655;491193;32.45846789;82932.7377;96.97089629
101;1693998276-423;Genferstr. 24, 8002 Zürich, ZH;47.36535263;8.534263611;261;Zürich;3.5;90;0;5160;57.33;420217;4778.994655;491193;32.45846789;82932.7377;295.3332773
102;1693998276-425;Am Wasser 161, 8049 Zürich, ZH;47.39943695;8.495816231;261;Zürich;1.5;22;0;2150;97.73;420217;4778.994655;491193;32.45846789;82932.7377;407.4024613
103;1693998276-426;Badenerstrasse 250, 8004 Zürich, ZH;47.37598801;8.516037941;261;Zürich;1.5;25;0;2100;84;420217;4778.994655;491193;32.45846789;82932.7377;108.2571857
104;1693998276-428;Am Wasser 161, 8049 Zürich, ZH;47.39943695;8.495816231;261;Zürich;1.5;32;0;2250;70.31;420217;4778.994655;491193;32.45846789;82932.7377;407.4024613
105;1693998276-430;Brown Boveri-Str. 12, 8050 Zürich, ZH;47.41577911;8.5368433;261;Zürich;4.5;135;0;3840;28.44;420217;4778.994655;491193;32.45846789;82932.7377;281.1592172
106;1693998276-432;Birchstrasse 98, 8050 Zürich, ZH;47.40781403;8.536985397;261;Zürich;1;64;0;2468;38.56;420217;4778.994655;491193;32.45846789;82932.7377;516.455676
108;1693998280-438;Bachwiesenstr. 119, 8047 Zürich, ZH;47.37694931;8.484875679;261;Zürich;4.5;108;0;2380;22.04;420217;4778.994655;491193;32.45846789;82932.7377;129.6919549
109;1693998280-441;Neuhausstrasse 11, 8044 Zürich, ZH;47.37740707;8.56416893;261;Zürich;2.5;100;0;3585;35.85;420217;4778.994655;491193;32.45846789;82932.7377;362.571488
110;1693998280-449;Am Wasser, 8049 Zürich, ZH;47.39522171;8.512446404;261;Zürich;2.5;42;0;2950;70.24;420217;4778.994655;491193;32.45846789;82932.7377;387.2666752
111;1693998280-450;Döltschiweg 39, 8055 Zürich, ZH;47.36728668;8.50819397;261;Zürich;2;53;0;2470;46.6;420217;4778.994655;491193;32.45846789;82932.7377;329.0220801
112;1693998280-451;Zurlindenstrasse 111, 8003 Zürich, ZH;47.37103271;8.51872921;261;Zürich;2.5;97;1;3576;36.87;420217;4778.994655;491193;32.45846789;82932.7377;144.4198142
113;1693998280-453;Dienerstrasse 59, 8004 Zürich, ZH;47.37880707;8.526125908;261;Zürich;3.5;93;0;3900;41.94;420217;4778.994655;491193;32.45846789;82932.7377;193.744515
114;1693998285-459;Meientalstrasse 71, 8048 Zürich, ZH;47.3861084;8.477628708;261;Zürich;2.5;45;0;2300;51.11;420217;4778.994655;491193;32.45846789;82932.7377;601.2526654
115;1693998285-460;Meientalstrasse 71, 8048 Zürich, ZH;47.3861084;8.477628708;261;Zürich;2.5;43;0;2200;51.16;420217;4778.994655;491193;32.45846789;82932.7377;601.2526654
116;1693998285-466;Fronwaldweg 22, 8046 Zürich, ZH;47.42396164;8.509985924;261;Zürich;3.5;104;0;3050;29.33;420217;4778.994655;491193;32.45846789;82932.7377;415.7747569
117;1693998285-475;Universitätstrasse 41, 8006 Zürich, ZH;47.38043976;8.547943115;261;Zürich;4.5;140;0;8990;64.21;420217;4778.994655;491193;32.45846789;82932.7377;229.5619968
118;1693998285-477;Birchstrasse 183A, 8050 Zürich, ZH;47.41421127;8.537707329;261;Zürich;3.5;116;0;2910;25.09;420217;4778.994655;491193;32.45846789;82932.7377;113.3162302
119;1693998289-483;Letzigraben 236, 8047 Zürich, ZH;47.37076569;8.49247551;261;Zürich;2;58;0;1825;31.47;420217;4778.994655;491193;32.45846789;82932.7377;37.39619199
120;1693998289-485;Pflugstr. 18, 8006 Zürich, ZH;47.39047241;8.538491249;261;Zürich;2.5;64;0;2515;39.3;420217;4778.994655;491193;32.45846789;82932.7377;231.3096735
121;1693998289-495;Baumackerstrasse 47, 8050 Zürich, ZH;47.4094429;8.54227829;261;Zürich;1;17;0;1340;78.82;420217;4778.994655;491193;32.45846789;82932.7377;111.1553966
122;1693998289-502;Luegislandstrasse 84, 8051 Zürich, ZH;47.40720749;8.568411827;261;Zürich;1;34;0;1330;39.12;420217;4778.994655;491193;32.45846789;82932.7377;375.779579
123;1693998289-504;Segantinistrasse 15, 8049 Zürich, ZH;47.40447235;8.501478195;261;Zürich;1;24;0;1090;45.42;420217;4778.994655;491193;32.45846789;82932.7377;300.0703521
124;1693998294-506;Kolbenacker 6, 8052 Zürich, ZH;47.42618942;8.548309326;261;Zürich;2;52;0;1524;29.31;420217;4778.994655;491193;32.45846789;82932.7377;565.6382349
125;1693998294-508;Steinwiesstrasse 63, 8032 Zürich, ZH;47.37158585;8.555725098;261;Zürich;3.5;115;0;4299;37.38;420217;4778.994655;491193;32.45846789;82932.7377;171.678684
126;1693998294-511;Wolfbachstrasse 18, 8032 Zürich, ZH;47.37040329;8.551278114;261;Zürich;3.5;108;0;3732;34.56;420217;4778.994655;491193;32.45846789;82932.7377;468.1444724
127;1693998294-516;Am Holbrig 11, 8049 Zürich, ZH;47.4050827;8.496919632;261;Zürich;3.5;103;0;2875;27.91;420217;4778.994655;491193;32.45846789;82932.7377;142.6895664
128;1693998294-517;Badenerstrasse  250, 8004 Zürich, ZH;47.37598801;8.516037941;261;Zürich;2.5;58;0;2900;50;420217;4778.994655;491193;32.45846789;82932.7377;108.2571857
129;1693998294-518;Badenerstrasse  250, 8004 Zürich, ZH;47.37598801;8.516037941;261;Zürich;2.5;46;0;3100;67.39;420217;4778.994655;491193;32.45846789;82932.7377;108.2571857
130;1693998294-527;Freiestrasse 182A, 8032 Zürich, ZH;47.36207199;8.563936234;261;Zürich;4.5;186;0;8200;44.09;420217;4778.994655;491193;32.45846789;82932.7377;189.6917519
131;1693998294-528;8048 Zürich, ZH;47.38897705;8.486362457;261;Zürich;2.5;48;0;2340;48.75;420217;4778.994655;491193;32.45846789;82932.7377;47.27452309
132;1693998297-530;Meientalstrasse 71, 8048 Zürich, ZH;47.3861084;8.477628708;261;Zürich;6.5;151;0;4950;32.78;420217;4778.994655;491193;32.45846789;82932.7377;601.2526654
133;1693998297-531;Meientalstrasse 71a, 8048 Zürich, ZH;47.38596725;8.477527618;261;Zürich;3.5;64;0;3000;46.88;420217;4778.994655;491193;32.45846789;82932.7377;606.7572848
134;1693998297-534;8038 Zürich, ZH;47.34108734;8.535780907;261;Zürich;4;90;0;3790;42.11;420217;4778.994655;491193;32.45846789;82932.7377;391.7019888
135;1693998297-535;8008 Zürich, ZH;47.35414886;8.560637474;261;Zürich;2.5;101;0;4800;47.52;420217;4778.994655;491193;32.45846789;82932.7377;155.671063
136;1693998297-539;Badenerstrasse 803, 8048 Zürich, ZH;47.39271927;8.474808693;261;Zürich;3.5;88;0;2740;31.14;420217;4778.994655;491193;32.45846789;82932.7377;390.671067
137;1693998297-540;Badenerstrasse 803, 8048 Zürich, ZH;47.39271927;8.474808693;261;Zürich;2.5;56;0;2490;44.46;420217;4778.994655;491193;32.45846789;82932.7377;390.671067
138;1693998297-541;Badenerstrasse 803, 8048 Zürich, ZH;47.39271927;8.474808693;261;Zürich;3.5;77;0;2760;35.84;420217;4778.994655;491193;32.45846789;82932.7377;390.671067
139;1693998297-542;Badenerstrasse 803, 8048 Zürich, ZH;47.39271927;8.474808693;261;Zürich;2.5;56;0;2450;43.75;420217;4778.994655;491193;32.45846789;82932.7377;390.671067
140;1693998297-543;Badenerstrasse 803, 8048 Zürich, ZH;47.39271927;8.474808693;261;Zürich;2.5;56;0;2470;44.11;420217;4778.994655;491193;32.45846789;82932.7377;390.671067
141;1693998297-544;Badenerstrasse 803, 8048 Zürich, ZH;47.39271927;8.474808693;261;Zürich;3.5;77;0;2740;35.58;420217;4778.994655;491193;32.45846789;82932.7377;390.671067
142;1693998297-545;Badenerstrasse 803, 8048 Zürich, ZH;47.39271927;8.474808693;261;Zürich;2.5;56;0;2450;43.75;420217;4778.994655;491193;32.45846789;82932.7377;390.671067
143;1693998297-551;Butzenstrasse 1, 8038 Zürich, ZH;47.3412323;8.530150414;261;Zürich;4;86;0;2950;34.3;420217;4778.994655;491193;32.45846789;82932.7377;45.06146518
144;1693998301-554;Universitätstrasse 84, 8006 Zürich, ZH;47.38287735;8.548396111;261;Zürich;3.5;88;0;3190;36.25;420217;4778.994655;491193;32.45846789;82932.7377;51.48667078
145;1693998301-555;Robert-Stephenson-Weg  47, 8004 Zürich, ZH;47.37981033;8.530495644;261;Zürich;4.5;148;0;6820;46.08;420217;4778.994655;491193;32.45846789;82932.7377;238.3272199
146;1693998301-556;Aemtlerstrasse 76, 8003 Zürich, ZH;47.37344742;8.514222145;261;Zürich;4;90;0;2950;32.78;420217;4778.994655;491193;32.45846789;82932.7377;319.9072702
147;1693998301-558;Butzenstrasse 17, 8038 Zürich, ZH;47.34133911;8.528195381;261;Zürich;4;126;0;3800;30.16;420217;4778.994655;491193;32.45846789;82932.7377;186.4295301
148;1693998301-560;Badenerstr. 136, 8004 Zürich, ZH;47.37461472;8.522954941;261;Zürich;1.5;36;0;1909;53.03;420217;4778.994655;491193;32.45846789;82932.7377;45.28560014
