listing_id,district,latitude,longitude,rooms,living_area,year_built,floor,has_balcony,has_elevator,monthly_rent_chf
LS-101458,D10,47.357655,8.514447,4.0,67.5 m2,1979.0,5,no,1,1300.0
LS-101831,D03,47.364575,8.53212,2.5,55.0 m2,2001.0,5,no,1,1480.0
LS-102141,D01,47.353795,8.539421,3.0,69.2 m2,1935.0,4,no,0,1105.0
LS-101382,D03,47.360093,8.543966,3.5,114.1 m2,1984.0,5,yes,1,2685.0
LS-102409,D01,47.364201,8.541016,3.5,110.5 m2,1966.0,5,no,1,2100000.0
LS-102102,D02,47.374027,8.507325,5.0,139.7 m2,1948.0,1,no,0,2530.0
LS-102334,D10,47.354338,8.539655,2.0,42.1 m2,1903.0,-99,yes,1,880.0
LS-102342,D08,47.407182,8.500357,2.5,65.1 m2,1906.0,3,no,1,795.0
LS-102584,D01,47.36995,8.54621,3.5,106.7 m2,1898.0,4,no,0,2445.0
LS-102422,D10,47.349497,8.533171,1.5,46.7 m2,1915.0,4,no,1,725.0
LS-102416,D03,47.368417,8.558645,3.0,74.1 m2,2006.0,7,yes,1,1730.0
LS-101778,D10,47.360672,8.52504,3.0,105.5 m2,1972.0,3,no,1,2010.0
LS-102649,D04,47.352873,8.57513,5.0,150.5 m2,1939.0,1,yes,0,3205.0
LS-102779,D12,47.375178,8.554485,3.0,59.6 m2,1931.0,3,yes,0,1235.0
LS-102634,D04,47.349814,8.562742,2.0,64.7 m2,1955.0,5,yes,1,1560.0
LS-100748,D06,47.349086,8.516536,4.0,75.9 m2,1895.0,3,yes,1,1600.0
LS-101923,D03,47.367423,8.535599,1.5,48.5 m2,1972.0,1,yes,1,1340.0
LS-102662,D04,47.340272,8.56906,1.5,45.9 m2,2011.0,4,no,1,1215.0
LS-101777,D06,47.344758,8.532129,3.0,79.3 m2,1904.0,0,yes,1,1620.0
LS-101324,D07,47.367074,8.465509,3.0,63.2 m2,1978.0,-99,yes,1,1050.0
LS-102825,D11,47.378858,8.49213,5.0,141.5 m2,2007.0,8,yes,1,2685.0
LS-101593,D04,47.35208,8.574811,3.5,81.7 sqm,1974.0,3,yes,1,1950.0
LS-100658,D06,47.343525,8.517679,3.0,54.6 m2,1894.0,4,no,1,855.0
LS-101969,D08,47.406605,8.498125,2.0,55.4 m2,1893.0,2,yes,1,870.0
LS-101707,D02,47.381169,8.499864,4.5,131.6 m2,1958.0,2,no,0,2255.0
LS-102501,D05,47.352479,8.489676,2.5,54.6 m2,2000.0,3,yes,0,960.0
LS-100280,D01,47.364326,8.547929,2.5,41.7 m2,1993.0,0,yes,0,1155.0
LS-101825,D08,47.397487,8.500796,3.5,76.8 m2,2011.0,6,yes,1,1270.0
LS-102495,D04,47.348778,8.566283,3.5,113.3 m2,1928.0,2,yes,0,2370.0
LS-101966,D09,47.357449,8.476995,3.5,106.3 m2,1989.0,6,no,1,1310.0
LS-101537,D10,47.353639,8.540766,5.5,124.3 m2,1975.0,3,yes,1,2360.0
LS-102755,D04,47.342131,8.564143,4.5,123.1 m2,2015.0,1,yes,0,2855.0
LS-100840,D02,47.376442,8.510935,3.0,85.4 m2,1931.0,-99,yes,1,1935.0
LS-102280,D02,47.374783,8.503323,1.5,33.2 m2,1948.0,5,yes,1,815.0
LS-101209,D04,47.344227,8.558232,2.5,73.6 m2,1893.0,4,no,0,1495.0
LS-102430,D10,47.367118,8.541502,2.5,58.1 m2,1919.0,3,yes,1,1405.0
LS-101144,D07,47.380353,8.486819,4.0,103.3 m2,1997.0,3,yes,1,1775.0
LS-101308,D12,47.372847,8.545821,3.0,85.9 m2,1897.0,5,yes,1,1965.0
LS-102396,D04,47.341601,8.558516,4.0,103.2 m2,2018.0,3,yes,1,2855.0
LS-100864,D12,47.387608,8.562771,4.0,123.4 m2,1912.0,6,yes,1,2060.0
LS-100419,D05,47.353341,8.48928,2.0,56.1 m2,1913.0,3,no,1,980.0
LS-102431,D02,47.377821,8.502118,2.0,61.8 m2,1901.0,0,yes,1,1360.0
LS-100694,D12,47.372768,8.551951,1.5,39.6 m2,1988.0,5,no,1,920.0
LS-100662,D12,47.374798,8.547726,1.5,47.1 m2,1916.0,0,no,1,935.0
LS-101806,D08,47.400933,8.487226,4.0,100.0 m2,1977.0,8,no,1,1505.0
LS-102753,D10,47.351463,8.531526,5.5,131.3 m2,1893.0,8,no,1,2190.0
LS-100523,D11,47.382253,8.496434,5.0,109.5 m2,1978.0,-99,yes,1,2150.0
LS-102904,D09,47.349651,8.480076,4.5,136.8 m2,1989.0,0,yes,0,1780.0
LS-101785,D11,47.39028,8.501542,5.0,147.2 m2,2018.0,6,yes,1,3340.0
LS-100769,D07,47.372087,8.474765,3.5,104.6 m2,1986.0,2,yes,1,1885.0
LS-102023,D10,47.356538,8.531624,2.5,77.4 m2,,2,yes,0,1595.0
LS-100666,D05,47.360265,8.511272,3.5,81.6 m2,1988.0,3,yes,1,1925.0
LS-100669,D02,47.372745,8.509923,4.0,114.3 m2,1897.0,3,no,1,2235.0
LS-101275,D11,47.382553,8.503202,2.0,67.2 m2,1917.0,6,no,1,1590.0
LS-102136,D10,47.360214,8.521154,5.5,134.6 m2,1958.0,0,yes,1,2575.0
LS-100612,D06,47.349667,8.516966,3.5,105.8 m2,1933.0,8,yes,1,2155.0
LS-100631,D02,47.379574,8.512888,5.5,109.6 m2,1977.0,4,yes,1,2335.0
LS-102223,D08,47.397333,8.516541,2.0,75.2 m2,2004.0,8,no,1,1155.0
LS-100863,D10,47.358454,8.528095,2.5,71.1 m2,2005.0,0,yes,1,1515.0
LS-100795,D07,47.36806,8.465744,2.5,81.2 m2,1948.0,4,yes,1,1350.0
LS-100444,D10,47.348251,8.526573,2.0,57.5 m2,1965.0,7,yes,1,1305.0
LS-102189,D04,47.353434,8.562428,1.0,45.2 m2,2009.0,7,yes,1,1310.0
LS-100732,D08,47.399277,8.480453,1.0,36.4 m2,1899.0,1,no,0,450.0
LS-102837,D05,47.35476,8.483508,2.0,50.9 m2,2005.0,2,no,0,1005.0
LS-102078,D12,47.36631,8.560321,1.5,38.5 m2,1931.0,5,yes,1,865.0
LS-102425,D01,47.36135,8.537313,1.0,29.4 m2,2004.0,4,yes,1,910.0
LS-100427,D05,47.351962,8.49314,3.0,93.5 m2,1957.0,1,no,0,1760.0
LS-100412,D11,47.384184,8.493527,4.5,104.3 m2,1950.0,4,no,1,1880.0
LS-102059,D05,47.357844,8.497032,3.0,70.9 m2,2015.0,0,no,1,1815.0
LS-101414,D10,47.354949,8.532721,3.0,78.2 m2,1982.0,6,no,1,1915.0
LS-102268,D11,47.384438,8.493082,4.5,97.7 m2,1934.0,6,yes,1,2195.0
LS-101782,D09,47.354055,8.479159,1.0,36.8 sqm,1941.0,8,no,1,470.0
LS-101745,D01,47.366215,8.533115,2.5,80.1 m2,1943.0,7,no,1,1525.0
LS-102869,D01,47.360587,8.544094,3.0,87.3 m2,1953.0,2,yes,0,1900.0
LS-102502,D11,47.381222,8.497547,3.5,81.3 m2,1980.0,8,yes,1,2030.0
LS-101483,D08,47.407112,8.491715,5.0,84.1 m2,1952.0,7,no,1,1070.0
LS-101134,D07,47.387158,8.470543,2.0,63.6 m2,1916.0,-99,no,1,980.0
LS-101977,D11,47.38847,8.501938,2.5,40.8 sqm,1957.0,3,yes,1,795.0
LS-102157,D09,47.363601,8.46382,2.5,59.5 m2,1989.0,8,no,1,810.0
LS-100640,D07,47.365872,8.465905,5.5,153.5 m2,1903.0,6,yes,1,2575.0
LS-102357,D12,47.38123,8.552067,3.5,82.0 m2,,3,no,0,1575.0
LS-101524,D06,47.345095,8.528139,2.5,50.8 m2,1917.0,0,yes,1,1150.0
LS-102171,D02,47.374345,8.51075,3.0,82.1 m2,2006.0,7,yes,1,2080.0
LS-102200,D06,47.351672,8.511968,3.5,82.4 m2,1891.0,8,no,1,1730.0
LS-102265,D08,47.396761,8.493199,4.0,95.5 m2,1935.0,6,yes,1,1400.0
LS-102968,D11,47.382122,8.497073,4.5,112.5 m2,1893.0,4,yes,1,2090.0
LS-100440,D08,47.400996,8.486502,4.0,115.2 m2,1956.0,2,yes,1,1810.0
LS-100414,D12,47.380741,8.552976,4.5,102.5 m2,2017.0,4,yes,0,2430.0
LS-102732,D03,47.352204,8.5378,2.0,50.0 m2,2003.0,3,yes,1,1255.0
LS-102589,D09,47.373108,8.473368,4.0,89.7 m2,1895.0,7,yes,1,1085.0
LS-102081,D04,47.345686,8.570579,3.5,102.2 m2,1915.0,4,no,1,2140.0
LS-100945,D03,47.35099,8.525288,2.5,71.6 m2,1903.0,3,yes,0,1245.0
LS-101875,D06,47.345966,8.512919,1.5,45.5 m2,1904.0,1,yes,1,845.0
LS-102962,D05,47.362761,8.485221,3.5,91.6 m2,1923.0,7,no,1,1755.0
LS-102905,D11,47.385047,8.499503,4.5,120.0 m2,1968.0,1,no,1,2075.0
LS-101321,D12,47.376293,8.548785,5.0,133.7 m2,,5,yes,1,2865.0
LS-102498,D06,47.339269,8.509249,3.5,98.3 m2,1948.0,0,yes,1,1505.0
LS-102547,D08,47.404209,8.491843,2.5,63.9 m2,1910.0,8,yes,1,810.0
LS-102704,D03,47.369059,8.536113,3.5,79.0 m2,1973.0,6,no,1,2275.0
LS-102733,D10,47.359259,8.535149,2.0,61.3 m2,1924.0,2,no,0,1395.0
LS-100833,D10,47.363278,8.539883,3.0,72.5 m2,,4,yes,1,1925.0
LS-102312,D05,47.356604,8.48143,4.0,110.6 m2,1958.0,1,no,0,1510.0
LS-102537,D09,47.35151,8.492229,1.5,34.7 m2,2023.0,5,no,1,1075.0
LS-100985,D04,47.353828,8.566297,3.0,78.3 m2,1892.0,1,yes,1,1745.0
LS-102363,D11,47.385904,8.496448,3.0,79.8 m2,1981.0,8,yes,1,2060.0
LS-102407,D09,47.354688,8.471557,3.5,98.9 m2,1970.0,0,yes,1,1295.0
LS-102747,D09,47.351985,8.475881,5.5,67.5 m2,1969.0,7,no,1,695.0
LS-100890,D08,47.40758,8.492971,2.5,78.8 m2,2015.0,6,no,1,1485.0
LS-100172,D06,47.354349,8.519118,1.5,54.9 m2,1910.0,3,yes,0,1115.0
LS-102576,D09,47.353991,8.470471,5.0,83.1 m2,2009.0,4,no,1,1140.0
LS-101073,D12,47.360972,8.541747,4.0,117.9 m2,1994.0,3,no,0,2510.0
LS-102164,D03,47.353683,8.538142,1.0,29.7 m2,1936.0,3,no,0,800.0
LS-100110,D12,47.380286,8.54945,3.5,73.4 m2,1997.0,8,yes,1,1740.0
LS-100070,D01,47.367088,8.54304,4.0,87.7 m2,1932.0,6,yes,1,1845.0
LS-101506,D10,47.358231,8.53708,4.5,110.0 m2,2017.0,2,yes,1,2855.0
LS-101966,D09,47.357449,8.476995,3.5,106.3 m2,1989.0,6,no,1,1310.0
LS-101078,D04,47.357881,8.558297,3.5,88.5 m2,1939.0,8,no,1,2630.0
LS-100868,D11,47.391958,8.495725,1.0,18.0 m2,1998.0,-99,yes,1,510.0
LS-102921,D01,47.374471,8.537238,4.5,123.4 m2,1945.0,2,no,0,2485.0
LS-101780,D03,47.35469,8.524818,2.0,73.4 m2,1989.0,8,yes,1,1860.0
LS-101916,D06,47.338535,8.519714,1.0,33.8 m2,1936.0,0,no,1,555.0
LS-101445,D02,47.370214,8.507634,3.5,57.0 m2,1990.0,0,no,0,1175.0
LS-100034,D08,47.411947,8.474113,1.5,52.6 m2,1988.0,0,yes,1,740.0
LS-100935,D06,47.355192,8.514275,2.5,48.1 m2,,5,yes,1,1335.0
LS-100992,D08,47.391055,8.499471,2.0,43.1 m2,1954.0,6,no,1,640.0
LS-101223,D05,47.347846,8.490627,3.0,49.2 m2,1987.0,4,yes,0,875.0
LS-100803,D08,47.404658,8.493649,3.0,80.8 m2,1972.0,2,yes,1,1210.0
LS-100361,D11,47.381705,8.506982,2.0,56.2 m2,1997.0,7,no,1,1280.0
LS-100420,D11,47.38641,8.495841,2.0,61.5 m2,2016.0,3,yes,0,1655.0
LS-100426,D07,47.379036,8.472377,2.0,44.0 m2,1917.0,-99,yes,0,785.0
LS-100619,D12,47.379841,8.540734,3.0,76.1 m2,1955.0,8,yes,1,1935.0
LS-100375,D08,47.399328,8.493589,2.0,57.6 m2,1908.0,6,no,1,1060.0
LS-100030,D08,47.392146,8.508192,1.5,44.8 m2,1936.0,7,no,1,1005.0
LS-100372,D08,47.405621,8.50461,4.0,90.7 m2,1966.0,7,yes,1,1430.0
LS-100340,D03,47.369518,8.533483,2.5,81.8 m2,1943.0,0,no,0,2325.0
LS-100584,D02,47.374048,8.50401,3.0,88.2 m2,1991.0,0,yes,1,1620.0
LS-100118,D06,47.347064,8.537305,3.0,67.5 m2,1927.0,7,no,1,1405.0
LS-102528,D09,47.3593,8.469441,4.0,92.1 sqm,1957.0,0,yes,1,1250.0
LS-101325,D08,47.408809,8.492882,3.5,86.4 m2,2021.0,8,no,1,1965.0
LS-102091,D01,47.366808,8.561367,4.0,129.6 m2,1987.0,3,yes,0,2565.0
LS-101391,D06,47.335307,8.514917,4.5,152.2 m2,,1,yes,0,2155.0
LS-101975,D06,47.350029,8.523451,3.5,115.4 m2,1961.0,1,no,0,1955.0
LS-102384,D05,47.354494,8.490885,4.5,114.2 m2,,2,yes,1,1930.0
LS-101086,D12,47.38109,8.556071,5.0,140.1 m2,1948.0,0,yes,0,2695.0
LS-100305,D04,47.353784,8.561416,2.0,59.6 m2,1905.0,0,yes,0,1505.0
LS-101818,D08,47.403505,8.487288,4.0,104.6 m2,1922.0,3,yes,0,1480.0
LS-100637,D02,47.379131,8.498239,4.5,117.3 sqm,1946.0,6,yes,1,2270.0
LS-100852,D11,47.39922,8.5026,2.5,59.0 m2,1984.0,6,no,1,1175.0
LS-101040,D11,47.388629,8.481472,5.5,123.4 sqm,1948.0,0,yes,0,2045.0
LS-100707,D10,47.366072,8.530272,3.0,54.2 m2,1939.0,7,no,1,1215.0
LS-101705,D08,47.403376,8.498545,3.0,86.0 m2,1898.0,7,yes,1,1155.0
LS-102812,D04,47.345167,8.562728,4.0,111.9 m2,1943.0,1,yes,1,2445.0
LS-100584,D02,47.374048,8.50401,3.0,88.2 m2,1991.0,0,yes,1,1620.0
LS-100468,D06,47.350705,8.523944,3.5,80.0 sqm,2008.0,3,yes,1,1780.0
LS-102220,D05,47.361707,8.486026,2.0,53.3 m2,1916.0,1,no,0,965.0
LS-100079,D11,47.379289,8.500295,3.0,99.2 m2,1924.0,3,yes,0,1820.0
LS-102944,D01,47.376433,8.546706,5.5,125.2 m2,1932.0,3,no,0,2160.0
LS-100734,D04,47.359054,8.557316,2.0,73.8 m2,1907.0,4,no,0,1805.0
LS-100847,D05,47.349983,8.495003,3.0,67.9 m2,1925.0,4,yes,0,1415.0
LS-102993,D09,47.369091,8.468501,1.5,43.8 m2,2005.0,6,yes,1,515.0
LS-102403,D08,47.409395,8.505785,2.0,46.1 m2,1980.0,5,yes,1,905000.0
LS-101576,D06,47.343639,8.521722,4.5,131.3 m2,1946.0,5,yes,1,2600.0
LS-100757,D05,47.352708,8.489875,2.0,42.2 m2,2002.0,6,no,1,790.0
LS-102287,D02,47.373261,8.507772,3.5,89.7 m2,1980.0,8,no,1,2055.0
LS-102316,D10,47.354005,8.535637,5.0,114.5 m2,2015.0,1,yes,1,2555.0
LS-102376,D03,47.361939,8.538611,3.5,76.2 m2,1937.0,5,no,1,2015.0
LS-101680,D08,47.403323,8.48426,5.5,172.2 m2,1966.0,0,yes,0,2095.0
LS-100474,D03,47.363411,8.539478,5.0,134.4 m2,1923.0,1,no,1,3250.0
LS-102616,D08,47.409045,8.498473,4.0,116.9 m2,1924.0,4,no,1,1575.0
LS-100203,D07,47.377699,8.477337,5.5,156.0 m2,1989.0,6,yes,1,2565.0
LS-102317,D04,47.340259,8.560084,2.0,50.1 m2,1995.0,8,no,1,1085.0
LS-101157,D01,47.373091,8.539977,3.5,112.5 m2,1891.0,2,yes,0,2285.0
LS-101338,D06,47.337468,8.528242,5.0,72.0 m2,1923.0,0,no,1,1125.0
LS-101189,D07,47.375524,8.455433,1.0,26.7 m2,1948.0,7,yes,1,465.0
LS-100186,D05,47.354668,8.485857,5.0,134.6 m2,,5,no,1,2860.0
LS-102943,D12,47.378519,8.553657,2.5,70.1 m2,1983.0,4,yes,1,1585.0
LS-100691,D04,47.345689,8.547834,1.0,22.2 m2,1972.0,6,no,1,625.0
LS-102570,D05,47.364397,8.49266,3.0,57.2 m2,1936.0,7,yes,1,1360.0
LS-101490,D10,47.35289,8.54632,3.5,87.6 m2,1928.0,0,yes,1,1720.0
LS-101436,D06,47.353413,8.526228,1.0,33.5 m2,1944.0,7,yes,1,640.0
LS-102763,D04,47.341102,8.571065,1.5,52.5 m2,1941.0,0,no,1,1435.0
LS-100536,D04,47.360416,8.567785,1.5,43.2 m2,1974.0,0,no,1,995.0
LS-102642,D03,47.360762,8.540369,3.5,82.1 m2,1904.0,-99,yes,0,2120.0
LS-101801,D12,47.388321,8.557698,2.5,44.3 m2,2007.0,-99,no,1,925.0
LS-100547,D11,47.387063,8.485914,3.0,114.7 m2,1966.0,1,no,1,1755.0
LS-102047,D10,47.358782,8.526999,3.5,117.8 m2,,8,yes,1,2275.0
LS-102356,D08,47.411477,8.503291,4.0,101.0 m2,1899.0,7,no,1,1350.0
LS-101693,D02,47.373314,8.510757,1.0,31.6 m2,1993.0,7,yes,1,615.0
LS-101294,D07,47.367168,8.490167,4.5,160.1 m2,1901.0,3,yes,1,2895.0
LS-102234,D02,47.370822,8.498571,1.0,33.6 m2,1964.0,5,yes,1,690.0
LS-101589,D10,47.366023,8.52485,4.0,120.9 m2,,-99,yes,1,2620.0
LS-102618,D01,47.375856,8.538095,3.5,104.3 m2,2007.0,8,yes,1,2270.0
LS-100190,D11,47.37621,8.498727,5.0,152.8 m2,,0,no,1,2955.0
LS-102714,D06,47.345996,8.528458,4.0,113.4 m2,1918.0,5,yes,1,2185.0
LS-100430,D08,47.404329,8.488427,4.0,68.1 m2,2023.0,8,yes,1,1715.0
LS-102622,D02,47.376433,8.506365,2.5,60.9 m2,2010.0,2,no,1,1255.0
LS-101234,D06,47.354594,8.53486,3.0,67.7 m2,1964.0,1,yes,1,1475.0
LS-102096,D06,47.346056,8.522744,2.0,52.9 m2,1926.0,6,yes,1,1230.0
LS-102620,D11,47.373508,8.484201,5.0,179.6 m2,1892.0,1,no,0,3125.0
LS-101374,D08,47.399914,8.498962,2.0,48.2 m2,1937.0,1,no,0,780.0
LS-100002,D06,47.343718,8.521365,4.5,100.1 m2,1928.0,3,yes,0,1780.0
LS-101159,D10,47.351377,8.532761,3.0,50.1 m2,2000.0,1,yes,0,1040.0
LS-100314,D04,47.349903,8.569805,4.0,110.5 m2,2014.0,3,yes,0,2510.0
LS-102115,D12,47.376332,8.525734,2.5,80.3 m2,1962.0,1,yes,0,1925.0
LS-100358,D04,47.358149,8.573357,4.5,133.5 m2,1953.0,6,no,1,3205.0
LS-100568,D12,47.374976,8.550677,1.5,49.7 m2,2000.0,5,yes,1,1110.0
LS-101582,D07,47.390664,8.467631,2.5,81.4 m2,2005.0,0,yes,0,1310.0
LS-100716,D05,47.362791,8.506445,1.0,37.2 m2,1898.0,3,no,1,705.0
LS-101279,D10,47.348229,8.535965,4.0,116.0 m2,1927.0,2,no,0,2000.0
LS-101609,D01,47.374293,8.537916,4.5,91.5 m2,2012.0,8,yes,1,1985.0
LS-101485,D12,47.377115,8.544895,3.5,76.6 m2,1967.0,4,no,1,1680.0
LS-102037,D11,47.383099,8.49359,1.5,40.1 m2,1962.0,1,yes,0,760.0
LS-100632,D06,47.349076,8.516478,4.0,122.3 m2,1999.0,4,yes,1,2485.0
LS-102596,D04,47.343806,8.563234,5.0,123.4 m2,1982.0,4,no,0,2355.0
LS-100713,D09,47.36296,8.477854,3.5,96.6 m2,1926.0,6,no,1,1265.0
LS-100485,D10,47.353953,8.528457,2.0,60.3 m2,1947.0,0,no,0,1045.0
LS-102866,D04,47.34909,8.557237,2.5,65.0 m2,1890.0,3,no,1,1490.0
LS-100933,D10,47.361591,8.535174,2.5,71.4 m2,2007.0,5,yes,1,1860.0
LS-101991,D11,47.384323,8.496669,3.5,74.8 m2,1902.0,0,no,0,1405.0
LS-102173,D11,47.37726,8.496931,5.5,150.4 m2,1966.0,-99,yes,1,2925.0
