Offer_Id;Type;Price;PS;Init_Regist;Kilometer;Fuel_Type;Transmission
7509404;OPEL Insignia Sports Tourer 2.0 CDTI Cosmo 4WD Aut. (Kombi);CHF 18'500.–;170 PS;6.2016;96'000 km;Diesel;Automat sequentiell
7510150;BMW 118i (Limousine);CHF 5'549.–;143 PS;6.2007;152'000 km;Benzin;Schaltgetriebe manuell
7510017;SEAT Leon 2.0 TSI World Champion Edition (Limousine);CHF 13'000.–;285 PS;6.2009;130'000 km;Benzin;Schaltgetriebe manuell
7510044;VW Passat Variant 2.0 TDI BMT Comfortline 4M (Kombi);CHF 9'900.–;140 PS;12.2011;180'200 km;Diesel;Schaltgetriebe manuell
7503206;AUDI SQ5 3.0 TDI quattro tiptronic (SUV / Geländewagen);CHF 47'900.–;326 PS;8.2016;46'700 km;Diesel;Automat sequentiell
7509999;MERCEDES-BENZ A 200 CDI Urban (Limousine);CHF 20'000.–;136 PS;1.2014;104'000 km;Diesel;Automat
7510025;RENAULT Scénic 1.5 dCi Bose EDC (Kompaktvan / Minivan);CHF 13'900.–;110 PS;9.2014;45'000 km;Diesel;Automatisiertes Schaltgetriebe
7509956;BMW X4 xDrive 30d Steptronic (SUV / Geländewagen);CHF 33'800.–;258 PS;6.2015;59'800 km;Diesel;Automat sequentiell
7509943;RENAULT Koleos 2.0 dCi Edition One 4x4 Xtronic CVT (SUV / Geländewagen);CHF 23'800.–;177 PS;8.2017;45'000 km;Diesel;Automat stufenlos, sequentiell
7509947;SEAT Toledo 1.4 TSI Style DSG (Limousine);CHF 8'450.–;122 PS;3.2013;119'000 km;Benzin;Automatisiertes Schaltgetriebe
7305781;FORD Galaxy 2.0 TDCi Titanium AWD PowerShift (Kompaktvan / Minivan);CHF 27'900.–;180 PS;1.2016;40'000 km;Diesel;Automatisiertes Schaltgetriebe
7509887;MERCEDES-BENZ SL 300 cabriolet (Cabriolet);CHF 44'000.–;188 PS;9.1985;106'000 km;Benzin;Automatik-Getriebe
7496116;VOLVO V60 T5 Summum Powershift (Kombi);CHF 15'950.–;240 PS;12.2011;72'000 km;Benzin;Automatisiertes Schaltgetriebe
7509768;MERCEDES-BENZ 500 SL Automatic (Cabriolet);CHF 45'000.–;223 PS;1.1989;179'000 km;Benzin;Automat
6900996;FORD MUSTANG 4.0 Premium (Limousine);CHF 17'900.–;215 PS;3.201;35'100 km;Benzin;Automatik-Getriebe
7509758;JEEP Renegade 2.0 MJ Trailhawk AWD + Low Range 9ATX (SUV / Geländewagen);CHF 24'900.–;170 PS;10.2018;28'000 km;Diesel;Automat sequentiell
6792037;MINI Cooper S Cabriolet (Cabriolet);CHF 26'800.–;192 PS;4.2017;14'200 km;Benzin;Schaltgetriebe manuell
7509700;BMW Z4 3.0i Roadster (Cabriolet);CHF 11'000.–;231 PS;9.2003;99'020 km;Benzin;Schaltgetriebe manuell
7504402;AUDI RS4 Avant 4.2 V8 quattro (Kombi);CHF 16'400.–;420 PS;7.2007;162'500 km;Benzin;Schaltgetriebe manuell
7416516;AUDI S3 Sedan 2.0 TFSI quattro S-tronic (Limousine);CHF 36'500.–;310 PS;10.2016;60'600 km;Benzin;Automatisiertes Schaltgetriebe
7509669;MERCEDES-BENZ Viano 3.0 CDI Blue Efficiency Fun L A (Kombi);CHF 45'000.–;224 PS;3.2012;57'000 km;Diesel;Automat
7307922;MERCEDES-BENZ C 200 BlueTEC Avantgarde 7G-Tronic (Kombi);CHF 17'900.–;136 PS;1.2015;89'900 km;Diesel;Automat sequentiell
7509581;MERCEDES-BENZ 220 220 S (Limousine);CHF 42'000.–;100 PS;9.1959;4'000 km;Benzin;Schaltgetriebe manuell
7509538;AUDI A3 Sportback 1.4 e-tron Sport S-tronic (Limousine);CHF 24'800.–;204 PS;7.2017;19'500 km;Plug-in-Hybrid Benzin/Elektro;Automatisiertes Schaltgetriebe
7509483;RENAULT Grand Scénic 1.3 16V Turbo Initiale Paris EDC (Kompaktvan / Minivan);CHF 35'900.–;160 PS;6.2019;9'900 km;Benzin;Automatisiertes Schaltgetriebe
6467415;PORSCHE 911 SC (Coupé);CHF 71'900.–;188 PS;9.1979;93'000 km;Benzin;Schaltgetriebe
7421929;MERCEDES-BENZ A 250 A 250 AMG Line 4Matic 7G-DCT 4Matic (Limousine);CHF 44'900.–;224 PS;4.2019;13'500 km;Benzin;Automatisiertes Schaltgetriebe
7509389;VW T5 Multivan 2.0 TDI CR Startline (Bus);CHF 24'860.–;140 PS;7.2013;135'280 km;Diesel;Schaltgetriebe manuell
7509365;AUDI S3 Sportback 2.0 TFSI quattro S-tronic (Limousine);CHF 15'500.–;311 PS;11.2009;165'000 km;Benzin;Automatisiertes Schaltgetriebe
5448405;BMW Z3 2.2i Roadster (Cabriolet);CHF 9'500.–;170 PS;4.2001;113'000 km;Benzin;Schaltgetriebe manuell
7416895;MERCEDES-BENZ GLE Coupé 43 AMG 4Matic 9G-Tronic (SUV / Geländewagen);CHF 78'000.–;367 PS;4.2017;11'200 km;Benzin;Automat sequentiell
7509285;SEAT Ibiza 1.5 TSI EVO Swiss FR (Kleinwagen);CHF 19'900.–;150 PS;5.2018;27'000 km;Benzin;Schaltgetriebe manuell
7509188;PORSCHE 911 Carrera 4S PDK (Coupé);CHF 122'000.–;420 PS;6.2017;30'000 km;Benzin;Automatisiertes Schaltgetriebe
7503104;PORSCHE 911 Carrera 4S Cabrio (Cabriolet);CHF 108'000.–;420 PS;11.2016;29'900 km;Benzin;Schaltgetriebe manuell
7509078;SEAT Leon 1.4 TSI COPA Style (Limousine);CHF 5'490.–;125 PS;6.2012;122'500 km;Benzin;Schaltgetriebe manuell
7509022;MERCEDES-BENZ C 200 Coupé AMG Line 4Matic 9G-Tronic (Coupé);CHF 39'900.–;184 PS;5.2017;22'000 km;Benzin;Automat sequentiell
7508937;SKODA Octavia Combi 1.4 TSI Active (Kombi);CHF 8'500.–;140 PS;1.2014;106'000 km;Benzin;Schaltgetriebe manuell
7508976;VW Golf 2.0 TSI R 4Motion (Limousine);CHF 16'000.–;270 PS;7.201;161'800 km;Benzin;Schaltgetriebe manuell
7508913;VW Golf 2.0 TSI R 4Motion DSG (Limousine);CHF 25'500.–;301 PS;7.2014;74'000 km;Benzin;Automatisiertes Schaltgetriebe
7508873;SUBARU Levorg 1.6DIT Luxury S AWD Lineartronic (Kombi);CHF 14'900.–;170 PS;1.2016;94'500 km;Benzin;Automat stufenlos, sequentiell
7508883;BMW X1 xDrive 25d M Sport Steptronic (SUV / Geländewagen);CHF 25'900.–;231 PS;2.2017;124'000 km;Diesel;Automat sequentiell
7508679;BMW X5 xDrive 40d Steptronic (SUV / Geländewagen);CHF 31'000.–;313 PS;4.2016;205'000 km;Diesel;Automat sequentiell
7508722;FORD EcoSport 1.0 SCTi Titanium S (SUV / Geländewagen);CHF 13'500.–;140 PS;12.2017;28'000 km;Benzin;Schaltgetriebe manuell
7508434;MERCEDES-BENZ Vito 116 CDI Blue Efficiency L 4Matic A (Kombi);CHF 24'000.–;163 PS;4.2014;80'000 km;Diesel;Automat
7063476;BMW 220i Gran Tourer M Sport Steptronic (Kompaktvan / Minivan);CHF 17'800.–;192 PS;8.2015;100'000 km;Benzin;Automat sequentiell
7498075;NISSAN Murano 2.5 dCi Automatic (SUV / Geländewagen);CHF 9'000.–;190 PS;6.201;145'000 km;Diesel;Automat sequentiell
7508206;BMW M2 Competition Drivelogic (Coupé);CHF 58'700.–;410 PS;10.2018;13'800 km;Benzin;Automatisiertes Schaltgetriebe
7261136;OPEL Cascada 1.6i 16V Cosmo Automat (Cabriolet);CHF 19'300.–;170 PS;4.2016;35'000 km;Benzin;Automat sequentiell
7507928;PORSCHE Macan GTS PDK (SUV / Geländewagen);CHF 59'500.–;360 PS;9.2016;38'500 km;Benzin;Automatisiertes Schaltgetriebe
7507847;SMART fortwo passion mhd softouch (Kleinwagen);CHF 6'500.–;71 PS;2.201;80'500 km;Benzin;Automatisiertes Schaltgetriebe
7491966;OPEL Insignia Sports Tourer 2.0 CDTI Cosmo 4WD Aut. (Kombi);CHF 12'490.–;170 PS;12.2015;128'000 km;Diesel;Automat sequentiell
7507631;TOYOTA Yaris 1.5 VVT-i Hybrid Trend e-CVT (Kleinwagen);CHF 18'900.–;101 PS;11.2017;15'000 km;Voll-Hybrid Benzin/Elektro;Automat stufenlos
7507733;KIA Ceed 1.6 GDi GT (Limousine);CHF 27'900.–;204 PS;9.2018;9'900 km;Benzin;Schaltgetriebe manuell
7507655;BMW M3 Cabriolet DSG (Cabriolet);CHF 28'900.–;420 PS;5.2012;141'000 km;Benzin;Automatisiertes Schaltgetriebe
7507500;MERCEDES-BENZ C 250 BlueTEC AMG Line 4Matic 7G-Tronic (Kombi);CHF 29'500.–;204 PS;5.2016;52'000 km;Diesel;Automat sequentiell
7418259;AUDI A8 3.0 TDI quattro tiptronic (Limousine);CHF 24'900.–;250 PS;1.2013;170'000 km;Diesel;Automat sequentiell
7428814;SUBARU Levorg 1.6DIT Swiss S AWD Lineartronic (Kombi);CHF 16'900.–;170 PS;10.2016;40'000 km;Benzin;Automat stufenlos, sequentiell
7506992;MERCEDES-BENZ A 35 AMG 4Matic Speedshift (Limousine);CHF 58'000.–;306 PS;6.2019;13'000 km;Benzin;Automatisiertes Schaltgetriebe
7415123;MERCEDES-BENZ E 250 BlueTEC Avantgarde 4Matic 7G-Tronic (Limousine);CHF 20'500.–;204 PS;2.2016;151'000 km;Diesel;Automat sequentiell
7414508;CITROEN C3 Aircross 1.2i PureTech Shine EAT (SUV / Geländewagen);CHF 17'400.–;110 PS;9.2018;39'000 km;Benzin;Automat sequentiell
7505473;AUDI A3 Sportback 2.0 TFSI Ambiente quattro S-tronic (Limousine);CHF 11'500.–;200 PS;6.2012;139'000 km;Benzin;Automatisiertes Schaltgetriebe
7506527;AUDI A6 Avant 2.8 V6 FSI quattro tiptronic (Kombi);CHF 10'900.–;210 PS;7.2008;155'000 km;Benzin;Automat sequentiell
7499124;OPEL Signum 2.2 Diamond (Limousine);CHF 5'000.–;155 PS;6.2008;95'000 km;Benzin;Schaltgetriebe manuell
7350961;LAND ROVER Range Rover 4.4 SDV8 Autobiography Automatic (SUV / Geländewagen);CHF 56'900.–;340 PS;6.2014;91'000 km;Diesel;Automat sequentiell
7437502;MERCEDES-BENZ GLK 350 4Matic 7G-Tronic (SUV / Geländewagen);CHF 16'300.–;272 PS;6.2009;102'000 km;Benzin;Automat sequentiell
7504609;PORSCHE 911 Targa 4S PDK (Cabriolet);CHF 138'000.–;420 PS;8.2018;14'000 km;Benzin;Automatisiertes Schaltgetriebe
7504056;LAND ROVER Range Rover Evoque 2.0 Si4 HSE Dynamic AT9 (SUV / Geländewagen);CHF 36'500.–;241 PS;3.2017;22'500 km;Benzin;Automat sequentiell
7328089;CHEVROLET Camaro 6.2 Coupé Hot Wheels Edition Automatic (Coupé);CHF 28'500.–;405 PS;5.2013;31'298 km;Benzin;Automat sequentiell
7041639;AUDI A5 Coupé 2.0 TFSI (Coupé);CHF 14'900.–;180 PS;1.2011;85'200 km;Benzin;Schaltgetriebe manuell
7501967;MERCEDES-BENZ 200 (Limousine);CHF 8'900.–;98 PS;11.1982;189'531 km;Benzin;Schaltgetriebe manuell
7484770;TOYOTA C-HR 1.8 HSD Trend CVT (SUV / Geländewagen);CHF 20'900.–;122 PS;2.2018;78'900 km;Voll-Hybrid Benzin/Elektro;Automat stufenlos
7191131;HYUNDAI TUCSON 1.6 T-GDi (SUV / Geländewagen);CHF 23'250.–;177 PS;9.2016;29'418 km;Benzin;Automatisiertes Schaltgetriebe
7503280;BMW 535i Steptronic (Limousine);CHF 14'900.–;306 PS;7.201;123'000 km;Benzin;Automat sequentiell
7503178;BMW X5 xDrive M50d Steptronic (SUV / Geländewagen);CHF 86'900.–;381 PS;5.2017;26'045 km;Diesel;Automat sequentiell
6713235;MAZDA MX-5 1.8i 16V Confort (Cabriolet);CHF 13'000.–;126 PS;6.2012;35'000 km;Benzin;Schaltgetriebe manuell
7502946;SKODA Octavia Combi 2.0 TDI Swiss Joy 4x4 (Kombi);CHF 17'900.–;150 PS;5.2016;63'000 km;Diesel;Schaltgetriebe manuell
7503014;SEAT Leon ST 2.0 TSI Cupra 280 DSG (Kombi);CHF 20'000.–;336 PS;8.2015;56'000 km;Benzin;Automatisiertes Schaltgetriebe
7502925;VOLVO XC90 D5 AWD Inscription Geartronic (SUV / Geländewagen);CHF 43'900.–;224 PS;2.2016;87'900 km;Diesel;Automat sequentiell
7489031;TOYOTA Corolla Verso 1.8 Edition MultiMode (Kompaktvan / Minivan);CHF 6'500.–;129 PS;7.2008;127'000 km;Benzin;Automatisiertes Schaltgetriebe
7502747;BMW M4 Coupé CS DKG (Coupé);CHF 78'000.–;460 PS;5.2018;11'000 km;Benzin;Automatisiertes Schaltgetriebe
7103958;MINI Countryman Cooper S ALL4 Steptronic (SUV / Geländewagen);CHF 31'800.–;192 PS;6.2018;29'000 km;Benzin;Automat sequentiell
7502214;PORSCHE 911 Turbo manual (Coupé);CHF 89'800.–;480 PS;5.2008;35'794 km;Benzin;Schaltgetriebe manuell
7374100;AUDI RS7 Sportback 4.0 TFSI V8 performance quattro (Limousine);CHF 85'000.–;605 PS;4.2016;29'000 km;Benzin;Automat sequentiell
7497048;TOYOTA Prius+ 1.8 VVT-i HSD Sol (Kompaktvan / Minivan);CHF 23'500.–;136 PS;12.2016;19'000 km;Voll-Hybrid Benzin/Elektro;Automat stufenlos
7501625;VW Touran 1.6 TDI Comfortline DSG (Kompaktvan / Minivan);CHF 10'500.–;105 PS;2.2014;120'200 km;Diesel;Automatisiertes Schaltgetriebe
7414340;MERCEDES-BENZ GLC 43 AMG 4Matic 9G-Tronic (SUV / Geländewagen);CHF 56'000.–;367 PS;4.2018;35'000 km;Benzin;Automat sequentiell
7468881;VW T6 Multivan 2.0 TDI Trendline Liberty DSG (Bus);CHF 44'200.–;150 PS;3.2019;10'500 km;Diesel;Automatisiertes Schaltgetriebe
7368096;CHEVROLET CORVETTE C3 L82 Handschaltung/Manuelle (Coupé);CHF 14'900.–;240 PS;9.1978;88'500 km;Schaltgetriebe;Hinterradantrieb
7468825;MERCEDES-BENZ E 400 Cabriolet AMG Line 4 Matic 9G-Tronic (Cabriolet);CHF 60'500.–;333 PS;8.2017;17'000 km;Benzin;Automat sequentiell
7457739;VW Golf 1.4 TSI Allstar DSG (Limousine);CHF 18'900.–;125 PS;2.2017;29'900 km;Benzin;Automatisiertes Schaltgetriebe
7468712;BMW X1 xDrive 20d xLine Steptronic (SUV / Geländewagen);CHF 16'800.–;184 PS;11.2012;77'000 km;Diesel;Automat sequentiell
7411278;FIAT Ulysse 2.0 16V JTD Swiss Edition (Kompaktvan / Minivan);CHF 6'500.–;136 PS;9.2007;145'000 km;Diesel;Schaltgetriebe manuell
7301759;PORSCHE Cayenne Diesel Platinum Edition (SUV / Geländewagen);CHF 60'000.–;262 PS;1.2017;35'000 km;Diesel;Automat sequentiell
7418552;BMW 320d xDrive Touring Steptronic (Kombi);CHF 11'350.–;184 PS;10.2011;157'000 km;Diesel;Automat sequentiell
7468358;AUDI RS4 Avant 2.9 TFSI quattro tiptronic (Kombi);CHF 77'500.–;450 PS;5.2018;44'500 km;Benzin;Automat sequentiell
7468237;PEUGEOT 308 SW 2.0 BlueHDI Active Automatic (Kombi);CHF 8'900.–;150 PS;2.2015;142'000 km;Diesel;Automat sequentiell
7468217;BMW 530d Touring xDrive Steptronic (Kombi);CHF 29'500.–;258 PS;6.2016;97'300 km;Diesel;Automat sequentiell
7468162;AUDI A3 Sportback 1.8 TFSI Ambition (Limousine);CHF 22'500.–;180 PS;9.2014;70'000 km;Benzin;Schaltgetriebe manuell
7468127;MERCEDES-BENZ A 250 Sport 4Matic 7G-DCT (Limousine);CHF 29'900.–;218 PS;7.2016;73'000 km;Benzin;Automatisiertes Schaltgetriebe
7468034;JEEP Cherokee 3.7 V6 Limited Automatic (SUV / Geländewagen);CHF 10'500.–;205 PS;9.201;113'800 km;Benzin;Automat
7308404;PORSCHE Boxster S 3.2 (Cabriolet);CHF 21'700.–;280 PS;7.2005;40'100 km;Benzin;Schaltgetriebe manuell
7468037;TOYOTA Prius 1.8 VVT-i HSD Sol (Limousine);CHF 18'000.–;122 PS;7.2016;97'000 km;Voll-Hybrid Benzin/Elektro;Automat stufenlos
7467995;AUDI A4 Avant 1.8 TFSI multitronic (Kombi);CHF 16'000.–;170 PS;6.2013;87'000 km;Benzin;Automat stufenlos, sequentiell
7467971;AUDI A5 Sportback 2.0 TFSI quattro S-tronic (Limousine);CHF 14'500.–;211 PS;1.2013;186'700 km;Benzin;Automatisiertes Schaltgetriebe
7467951;BMW X4 M 40i Steptronic (SUV / Geländewagen);CHF 45'900.–;360 PS;3.2017;47'000 km;Benzin;Automat sequentiell
7467936;AUDI RS4 Avant 2.9 TFSI quattro tiptronic (Kombi);CHF 85'000.–;450 PS;6.2019;15'000 km;Benzin;Automat sequentiell
7467914;VW Polo 1.8 TSI GTI DSG (Kleinwagen);CHF 16'799.–;192 PS;5.2016;62'000 km;Benzin;Automatisiertes Schaltgetriebe
7467853;PEUGEOT 5008 1.6 16V VTI Access (Kompaktvan / Minivan);CHF 8'500.–;120 PS;4.2012;90'916 km;Benzin;Schaltgetriebe manuell
7467799;PORSCHE Panamera 3.0 Diesel Tiptronic (Limousine);CHF 46'950.–;300 PS;5.2015;165'000 km;Diesel;Automat sequentiell
7467747;AUDI A3 1.4 TFSI Ambition (Limousine);CHF 13'950.–;122 PS;3.2013;72'000 km;Benzin;Schaltgetriebe manuell
7467774;MINI Countryman Cooper S ALL4 Snowhill (SUV / Geländewagen);CHF 12'200.–;184 PS;1.2013;85'000 km;Benzin;Schaltgetriebe manuell
7467756;PORSCHE 911 GT3 RS PDK (Coupé);CHF 169'500.–;500 PS;3.2016;12'134 km;Benzin;Automatisiertes Schaltgetriebe
7467711;AUDI Q5 3.0 TDI quattro S-tronic (SUV / Geländewagen);CHF 19'800.–;239 PS;5.201;94'800 km;Diesel;Automatisiertes Schaltgetriebe
7467703;JEEP Grand Cherokee 3.0 CRD Overland Automatic (SUV / Geländewagen);CHF 40'500.–;250 PS;5.2016;42'500 km;Diesel;Automat sequentiell
7409493;VW T5 Multivan 2.0 Bi-TDI CR Comfortline 4Motion DSG (Bus);CHF 18'500.–;180 PS;5.2011;226'000 km;Diesel;Automatisiertes Schaltgetriebe
7467687;BMW X6 M50d Steptronic (SUV / Geländewagen);CHF 46'500.–;381 PS;3.2016;98'450 km;Diesel;Automat sequentiell
7442298;CHRYSLER Crossfire 3.2 V6 (Limited) (Coupé);CHF 13'000.–;218 PS;7.2004;37'000 km;Benzin;Automat sequentiell
7467681;MERCEDES-BENZ C 180 BlueEfficiency Avantgarde 7G-Tronic (Limousine);CHF 13'900.–;156 PS;3.2012;137'900 km;Benzin;Automat sequentiell
7467662;AUDI A4 Avant 2.0 TDI quattro S-tronic (Kombi);CHF 17'500.–;177 PS;8.2013;104'000 km;Diesel;Automatisiertes Schaltgetriebe
7467648;JAGUAR E-Pace 2.0 P250 R-Dynamic SE AWD Automatik (SUV / Geländewagen);CHF 54'500.–;249 PS;10.2018;12'000 km;Benzin;Automat sequentiell
7467643;AUDI A3 1.8 TFSI Ambiente quattro S-tronic (Coupé);CHF 19'000.–;180 PS;1.2013;16'600 km;Benzin;Automatisiertes Schaltgetriebe
7467572;MERCEDES-BENZ C 350 CDI Elégance 7G-Tronic (Kombi);CHF 19'900.–;265 PS;9.2011;82'500 km;Diesel;Automat sequentiell
7379722;LAND ROVER Range Rover Evoque 2.0 TD4 HSE Dynamic (SUV / Geländewagen);CHF 41'900.–;180 PS;9.2017;18'000 km;Diesel;Automatik-Getriebe
7467362;AUDI Q3 2.0 TDI quattro S-tronic (SUV / Geländewagen);CHF 18'700.–;177 PS;7.2014;123'000 km;Diesel;Automatisiertes Schaltgetriebe
7467518;BMW Z4 sDrive20i (Cabriolet);CHF 21'500.–;184 PS;2.2015;89'000 km;Benzin;Schaltgetriebe manuell
7467531;MERCEDES-BENZ AMG GT AMG GT63 4m (Coupé);CHF 155'000.–;585 PS;7.2019;3'900 km;Benzin;Automatik-Getriebe
7467480;AUDI TT Coupé 3.2 quattro (Coupé);CHF 14'000.–;250 PS;4.2007;121'571 km;Benzin;Schaltgetriebe manuell
7447205;ALFA ROMEO Giulietta 1750 TBi Quadrifoglio Verde (Limousine);CHF 11'990.–;235 PS;3.2014;115'000 km;Benzin;Schaltgetriebe manuell
7369382;BMW 420d Coupé xDrive Steptronic (Coupé);CHF 27'900.–;184 PS;11.2014;55'000 km;Diesel;Automat sequentiell
7467461;FIAT Punto 1.4 16V Sport (Kleinwagen);CHF 1'800.–;95 PS;3.2008;160'224 km;Benzin;Schaltgetriebe manuell
7467437;VW Touareg 3.0 TDI BMT Peak Tiptronic (SUV / Geländewagen);CHF 34'900.–;262 PS;4.2016;83'000 km;Diesel;Automat sequentiell
7427064;PORSCHE 911 Carrera S (Coupé);CHF 48'500.–;355 PS;2.2007;71'100 km;Benzin;Schaltgetriebe manuell
7466939;KIA Optima SW 2.0 T-GDI Plug-in Hybrid Automat (Kombi);CHF 29'500.–;205 PS;12.2017;39'150 km;Plug-in-Hybrid Benzin/Elektro;Automat sequentiell
7467291;ALFA ROMEO MiTo 1.4 TB Distinctive (Kleinwagen);CHF 6'000.–;155 PS;3.2009;139'000 km;Benzin;Schaltgetriebe manuell
7467218;BMW 320i Coupé (Coupé);CHF 14'900.–;170 PS;1.2013;119'500 km;Benzin;Schaltgetriebe manuell
7015951;LAND ROVER Range Rover Velar R-Dynamic D 300 HSE Automatic (SUV / Geländewagen);CHF 69'900.–;300 PS;8.2017;40'500 km;Diesel;Automat sequentiell
7440244;SKODA Octavia Combi 2.0 TDI RS 4x4 DSG (Kombi);CHF 28'500.–;184 PS;8.2018;35'000 km;Diesel;Automatisiertes Schaltgetriebe
7467202;MERCEDES-BENZ GLA 45 AMG 4Matic 7G-DCT (SUV / Geländewagen);CHF 38'500.–;381 PS;1.2016;48'000 km;Benzin;Automatisiertes Schaltgetriebe
7466877;BMW M240i xDrive Steptronic (Coupé);CHF 46'000.–;340 PS;5.2018;20'500 km;Benzin;Automat sequentiell
7467082;AUDI SQ5 3.0 TDI plus quattro tiptronic (SUV / Geländewagen);CHF 43'300.–;340 PS;6.2016;70'805 km;Diesel;Automat sequentiell
7199754;SKODA Octavia 2.0 Turbo FSI RS (Limousine);CHF 6'000.–;200 PS;4.2006;115'000 km;Benzin;Schaltgetriebe manuell
