,web-scraper-order,address_raw,rooms,area,luxurious,price,price_per_m2,lat,lon,bfs_number,bfs_name,pop,pop_dens,frg_pct,emp,mean_taxable_income
22,1693998214-84,"Zentralstrasse 37, 8003 Zürich, ZH",2.5,75.0,0,6590.0,87.87,47.37150573730469,8.519575119018556,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
23,1693998214-87,"8049 Zürich, ZH",2.0,70.0,0,1625.0,23.21,47.4071159362793,8.494709968566896,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
24,1693998214-93,"Bucheggstrasse 130, 8057 Zürich, ZH",1.5,35.0,0,1800.0,51.43,47.398319244384766,8.538369178771974,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
25,1693998219-114,"Forchstrasse 84, 8008 Zürich, ZH",2.0,62.0,0,2970.0,47.9,47.36206817626953,8.559245109558105,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
26,1693998219-118,"8002 Zürich, ZH",8.5,210.0,0,8500.0,40.48,47.361061096191406,8.532576560974123,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
27,1693998219-119,"Freudenbergstrasse, 8044 Zürich, ZH",2.5,90.0,0,3130.0,34.78,47.37955474853516,8.55985450744629,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
28,1693998224-123,"Keltenstrasse 12, 8044 Zürich, ZH",1.5,63.0,0,2980.0,47.3,47.37654876708984,8.561196327209474,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
29,1693998224-131,"Hagenholzstrasse 59, 8050 Zürich, ZH",1.5,24.0,0,1960.0,81.67,47.41465759277344,8.555407524108888,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
30,1693998224-133,"Forchstrasse 150, 8032 Zürich, ZH",2.5,64.0,1,2560.0,40.0,47.360294342041016,8.564233779907228,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
31,1693998224-138,"Pfingstweidstrasse 98, 8005 Zürich, ZH",1.5,81.0,0,3131.0,38.65,47.390640258789055,8.51033878326416,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
32,1693998224-143,"Mühlebachstr. 28, 8008 Zürich, ZH",4.5,128.0,0,5710.0,44.61,47.3648567199707,8.55012607574463,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
33,1693998228-146,"Vulkanstrasse 110c, 8048 Zürich, ZH",3.0,100.0,0,4800.0,48.0,47.393749237060554,8.484014511108398,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
34,1693998228-148,"8004 Zürich, ZH",2.5,48.0,0,3360.0,70.0,47.380416870117195,8.525351524353027,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
35,1693998228-156,"8046 Zürich, ZH",4.0,90.0,0,3550.0,39.44,47.4151725769043,8.527069091796877,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
36,1693998228-158,"Hildastrasse 1, 8004 Zürich, ZH",2.0,21.0,0,1990.0,94.76,47.37620162963867,8.51615333557129,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
37,1693998228-161,"8046 Zürich, ZH",3.0,80.0,0,3350.0,41.88,47.4151725769043,8.527069091796877,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
38,1693998228-163,"8032 Zürich, ZH",7.0,180.0,0,6300.0,35.0,47.36586380004884,8.552139282226562,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
39,1693998233-177,"Bucheggstrasse 130, 8057 Zürich, ZH",4.5,119.0,0,4360.0,36.64,47.398319244384766,8.538369178771974,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
40,1693998233-178,"Bucheggstrasse 130, 8057 Zürich, ZH",3.0,58.0,0,2400.0,41.38,47.398319244384766,8.538369178771974,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
41,1693998233-184,"Kelchweg 1, 8048 Zürich, ZH",2.5,69.0,0,2290.0,33.19,47.38985443115234,8.480420112609863,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
42,1693998233-191,"Am Holbrig 2, 8049 Zürich, ZH",3.5,90.0,0,1750.0,19.44,47.40501403808594,8.49571990966797,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
43,1693998236-193,"Wolframplatz 1, 8045 Zürich, ZH",2.0,41.0,0,3930.0,95.85,47.362281799316406,8.52219295501709,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
44,1693998236-197,"Utoquai 37, 8008 Zürich, ZH",3.5,169.0,0,9000.0,53.25,47.36368179321289,8.546780586242676,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
45,1693998236-204,"Badenerstrasse 123, 8004 Zürich, ZH",4.0,98.0,0,3491.0,35.62,47.3741569519043,8.52369785308838,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
46,1693998236-207,"Etzelstrasse 35, 8038 Zürich, ZH",3.5,100.0,1,9150.0,91.5,47.346546173095696,8.530694961547852,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
47,1693998236-208,"Rosengartenstrasse 55, 8037 Zürich, ZH",2.5,65.0,0,5900.0,90.77,47.39588928222656,8.529163360595703,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
48,1693998236-209,"Eidmattstrasse 38, 8032 Zürich, ZH",2.5,70.0,0,5900.0,84.29,47.36497497558594,8.560164451599123,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
49,1693998240-228,"St. Urbangasse 8, 8001 Zürich, ZH",3.5,81.0,0,3893.0,48.06,47.367164611816406,8.546512603759766,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
50,1693998240-229,"Hagenholzstrasse 59, 8050 Zürich, ZH",1.5,24.0,0,1960.0,81.67,47.41465759277344,8.555407524108888,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
51,1693998240-231,"Susenbergstrasse 142, 8044 Zürich, ZH",3.5,78.0,0,2970.0,38.08,47.384761810302734,8.55949878692627,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
52,1693998243-246,"Albisstrasse 9, 8038 Zürich, ZH",1.0,15.0,0,995.0,66.33,47.34455871582031,8.533279418945312,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
53,1693998243-247,"Haldenstrasse, 8045 Zürich, ZH",2.5,50.0,0,2720.0,54.4,47.36302185058594,8.518438339233398,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
54,1693998243-249,"Badenerstrasse 841, 8048 Zürich, ZH",2.5,96.0,0,3250.0,33.85,47.393379211425774,8.472841262817385,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
55,1693998243-253,"Lindenbachstrasse 52, 8006 Zürich, ZH",3.5,65.0,0,3030.0,46.62,47.389678955078125,8.536903381347656,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
56,1693998243-258,"Limmatstrasse 260, 8005 Zürich, ZH",3.5,146.0,0,5550.0,38.01,47.38913345336913,8.52584171295166,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
57,1693998247-265,"8053 Zürich, ZH",4.5,174.0,0,7900.0,45.4,47.35861587524414,8.578998565673828,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
58,1693998247-266,"Heidwiesen 19, 8051 Zürich, ZH",4.5,100.0,0,3500.0,35.0,47.407493591308594,8.575970649719238,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
59,1693998247-267,"8002 Zürich, ZH",2.5,89.0,0,3900.0,43.82,47.361061096191406,8.532576560974123,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
60,1693998247-271,"Altstetterstrasse 288, 8047 Zürich, ZH",3.5,64.0,0,2085.0,32.58,47.37856674194336,8.483046531677246,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
61,1693998247-284,"Glatttalstrasse 163, 8052 Zürich, ZH",1.5,31.0,0,1600.0,51.61,47.43130493164063,8.543539047241213,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
62,1693998247-286,"8053 Zürich, ZH",2.5,60.0,0,2780.0,46.33,47.35861587524414,8.578998565673828,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
63,1693998247-288,"Oberwiesenstrasse 67, 8050 Zürich, ZH",2.5,66.0,0,2567.0,38.89,47.41167449951172,8.531891822814941,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
64,1693998252-289,"Hammerstrasse 54b, 8032 Zürich, ZH",4.5,126.0,0,4000.0,31.75,47.36020278930664,8.562192916870117,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
65,1693998252-292,"Scheideggstrasse 70, 8002 Zürich, ZH",7.5,205.0,0,5395.0,26.32,47.353271484375,8.528915405273438,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
66,1693998252-299,"8048 Zürich, ZH",3.5,85.0,0,3499.0,41.16,47.38897705078125,8.486362457275392,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
67,1693998252-300,"8055 Zürich, ZH",1.5,40.0,0,2142.0,53.55,47.36334991455078,8.505910873413086,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
68,1693998252-301,"Friesenbergstrasse 221, 8055 Zürich, ZH",3.5,70.0,0,4110.0,58.71,47.36202621459961,8.504245758056642,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
69,1693998252-303,"Fritz-Fleiner-Weg, 8044 Zürich, ZH",3.0,100.0,0,4200.0,42.0,47.381935119628906,8.560834884643556,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
70,1693998252-308,"Rosengartenstrasse 55, 8037 Zürich, ZH",2.5,75.0,0,6900.0,92.0,47.39588928222656,8.529163360595703,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
71,1693998252-309,"8046 Zürich, ZH",2.5,58.0,0,1685.0,29.05,47.4151725769043,8.527069091796877,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
72,1693998252-311,"Friedrichstrasse 24, 8051 Zürich, ZH",1.5,41.0,0,1910.0,46.59,47.405006408691406,8.569589614868164,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
73,1693998256-317,"Vulkanstrasse 110c, 8048 Zürich, ZH",3.5,93.0,0,4800.0,51.61,47.393749237060554,8.484014511108398,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
74,1693998256-328,"Albisstrasse 10, 8038 Zürich, ZH",4.0,95.0,0,2583.0,27.19,47.34488677978516,8.5330810546875,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
75,1693998256-332,"Wolframplatz 1, 8045 Zürich, ZH",2.0,57.0,0,4822.0,84.6,47.362281799316406,8.52219295501709,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
76,1693998261-340,"Hofwiesenstrasse 165, 8057 Zürich, ZH",3.5,114.0,0,4100.0,35.96,47.401077270507805,8.533770561218262,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
77,1693998261-342,"8004 Zürich, ZH",2.5,50.0,0,2900.0,58.0,47.380416870117195,8.525351524353027,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
78,1693998261-347,"8032 Zürich, ZH",4.5,146.0,0,5900.0,40.41,47.36586380004884,8.552139282226562,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
79,1693998261-349,"Zimmergasse 8, 8008 Zürich, ZH",2.0,60.0,0,3900.0,65.0,47.36309051513672,8.550751686096191,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
80,1693998261-352,"Auhofstrasse 5, 8051 Zürich, ZH",3.5,84.0,0,2320.0,27.62,47.4066276550293,8.56872844696045,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
81,1693998261-353,"Witikonerstrasse 54, 8032 Zürich, ZH",2.5,60.0,0,2383.0,39.72,47.36197662353516,8.568775177001953,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
82,1693998261-354,"Seestrasse 25, 8002 Zürich, ZH",2.5,66.0,0,3145.0,47.65,47.363529205322266,8.531552314758303,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
83,1693998265-363,"Zurlindenstrasse, 8003 Zürich, ZH",4.0,92.0,0,3495.0,37.99,47.36738967895508,8.523022651672363,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
84,1693998265-364,"Seefeldstrasse, 8008 Zürich, ZH",2.0,53.0,0,2525.0,47.64,47.36523818969727,8.548137664794922,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
85,1693998265-365,"Gustav-Gull-Platz 4, 8004 Zürich, ZH",4.5,140.0,0,9950.0,71.07,47.37947082519531,8.53112030029297,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
86,1693998265-366,"Engweg 8, 8006 Zürich, ZH",4.5,140.0,0,9170.0,65.5,47.3852653503418,8.537631988525392,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
87,1693998265-368,"Zollikerstrasse 227, 8008 Zürich, ZH",2.5,75.0,1,6900.0,92.0,47.348854064941406,8.565671920776367,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
88,1693998265-369,"Gotthelfstrasse 41, 8003 Zürich, ZH",4.5,115.0,0,8490.0,73.83,47.36850738525391,8.521334648132324,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
89,1693998265-373,"Forchstrasse 84, 8008 Zürich, ZH",2.5,53.0,0,3730.0,70.38,47.36206817626953,8.559245109558105,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
90,1693998272-387,"Sonnhaldenstrasse 2, 8032 Zürich, ZH",3.0,60.0,0,2800.0,46.67,47.36660385131836,8.561936378479004,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
91,1693998272-388,"Plattenstr. 34, 8032 Zürich, ZH",4.5,165.0,0,6293.0,38.14,47.37311553955078,8.553730964660646,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
92,1693998272-389,"Luegislandstrasse 80, 8051 Zürich, ZH",3.0,97.0,0,2420.0,24.95,47.406776428222656,8.568400382995605,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
93,1693998272-390,"Limmattalstrasse 244, 8049 Zürich, ZH",2.0,43.0,0,1830.0,42.56,47.402870178222656,8.493392944335938,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
94,1693998272-392,"Grubenackerstrasse 71, 8052 Zürich, ZH",2.0,46.0,0,2380.0,51.74,47.4189338684082,8.552834510803224,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
95,1693998272-393,"Grubenackerstrasse 71, 8052 Zürich, ZH",1.0,28.0,0,1880.0,67.14,47.4189338684082,8.552834510803224,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
96,1693998272-402,"Max Bill Platz 5, 8050 Zürich, ZH",2.0,122.0,0,3190.0,26.15,47.41380310058594,8.539403915405273,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
97,1693998272-404,"Kalkbreitestrasse 117, 8003 Zürich, ZH",1.0,18.0,0,820.0,45.56,47.37115097045898,8.515456199645996,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
98,1693998276-412,"Am Holbrig 12, 8049 Zürich, ZH",3.5,93.0,0,2750.0,29.57,47.404644012451165,8.496613502502441,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
99,1693998276-415,"Bergstrasse 76, 8032 Zürich, ZH",7.0,170.0,0,6400.0,37.65,47.371089935302734,8.562350273132324,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
100,1693998276-421,"Seestrasse 27, 8002 Zürich, ZH",3.5,126.0,0,6575.0,52.18,47.36330032348633,8.53154182434082,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
101,1693998276-423,"Genferstr. 24, 8002 Zürich, ZH",3.5,90.0,0,5160.0,57.33,47.365352630615234,8.534263610839844,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
102,1693998276-425,"Am Wasser 161, 8049 Zürich, ZH",1.5,22.0,0,2150.0,97.73,47.3994369506836,8.495816230773926,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
103,1693998276-426,"Badenerstrasse 250, 8004 Zürich, ZH",1.5,25.0,0,2100.0,84.0,47.3759880065918,8.516037940979004,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
104,1693998276-428,"Am Wasser 161, 8049 Zürich, ZH",1.5,32.0,0,2250.0,70.31,47.3994369506836,8.495816230773926,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
105,1693998276-430,"Brown Boveri-Str. 12, 8050 Zürich, ZH",4.5,135.0,0,3840.0,28.44,47.41577911376953,8.536843299865724,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
106,1693998276-432,"Birchstrasse 98, 8050 Zürich, ZH",1.0,64.0,0,2468.0,38.56,47.407814025878906,8.536985397338867,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
107,1693998280-434,"Neugasse 40, 8005 Zürich, ZH",1.0,11.0,0,1120.0,101.82,47.382469177246094,8.530179977416992,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
108,1693998280-438,"Bachwiesenstr. 119, 8047 Zürich, ZH",4.5,108.0,0,2380.0,22.04,47.376949310302734,8.484875679016113,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
109,1693998280-441,"Neuhausstrasse 11, 8044 Zürich, ZH",2.5,100.0,0,3585.0,35.85,47.37740707397461,8.564168930053713,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
110,1693998280-449,"Am Wasser, 8049 Zürich, ZH",2.5,42.0,0,2950.0,70.24,47.39522171020508,8.512446403503418,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
111,1693998280-450,"Döltschiweg 39, 8055 Zürich, ZH",2.0,53.0,0,2470.0,46.6,47.367286682128906,8.508193969726562,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
112,1693998280-451,"Zurlindenstrasse 111, 8003 Zürich, ZH",2.5,97.0,1,3576.0,36.87,47.37103271484375,8.518729209899902,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
113,1693998280-453,"Dienerstrasse 59, 8004 Zürich, ZH",3.5,93.0,0,3900.0,41.94,47.37880706787109,8.52612590789795,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
114,1693998285-459,"Meientalstrasse 71, 8048 Zürich, ZH",2.5,45.0,0,2300.0,51.11,47.386108398437514,8.477628707885742,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
115,1693998285-460,"Meientalstrasse 71, 8048 Zürich, ZH",2.5,43.0,0,2200.0,51.16,47.386108398437514,8.477628707885742,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
116,1693998285-466,"Fronwaldweg 22, 8046 Zürich, ZH",3.5,104.0,0,3050.0,29.33,47.4239616394043,8.50998592376709,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
117,1693998285-475,"Universitätstrasse 41, 8006 Zürich, ZH",4.5,140.0,0,8990.0,64.21,47.38043975830078,8.547943115234377,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
118,1693998285-477,"Birchstrasse 183A, 8050 Zürich, ZH",3.5,116.0,0,2910.0,25.09,47.41421127319336,8.537707328796388,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
119,1693998289-483,"Letzigraben 236, 8047 Zürich, ZH",2.0,58.0,0,1825.0,31.47,47.37076568603516,8.492475509643556,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
120,1693998289-485,"Pflugstr. 18, 8006 Zürich, ZH",2.5,64.0,0,2515.0,39.3,47.390472412109375,8.538491249084474,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
121,1693998289-495,"Baumackerstrasse 47, 8050 Zürich, ZH",1.0,17.0,0,1340.0,78.82,47.40944290161133,8.542278289794922,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
122,1693998289-502,"Luegislandstrasse 84, 8051 Zürich, ZH",1.0,34.0,0,1330.0,39.12,47.40720748901367,8.568411827087402,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
123,1693998289-504,"Segantinistrasse 15, 8049 Zürich, ZH",1.0,24.0,0,1090.0,45.42,47.40447235107422,8.50147819519043,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
124,1693998294-506,"Kolbenacker 6, 8052 Zürich, ZH",2.0,52.0,0,1524.0,29.31,47.42618942260742,8.548309326171877,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
125,1693998294-508,"Steinwiesstrasse 63, 8032 Zürich, ZH",3.5,115.0,0,4299.0,37.38,47.37158584594727,8.55572509765625,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
126,1693998294-511,"Wolfbachstrasse 18, 8032 Zürich, ZH",3.5,108.0,0,3732.0,34.56,47.37040328979492,8.551278114318848,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
127,1693998294-516,"Am Holbrig 11, 8049 Zürich, ZH",3.5,103.0,0,2875.0,27.91,47.40508270263672,8.496919631958008,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
128,1693998294-517,"Badenerstrasse  250, 8004 Zürich, ZH",2.5,58.0,0,2900.0,50.0,47.3759880065918,8.516037940979004,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
129,1693998294-518,"Badenerstrasse  250, 8004 Zürich, ZH",2.5,46.0,0,3100.0,67.39,47.3759880065918,8.516037940979004,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
130,1693998294-527,"Freiestrasse 182A, 8032 Zürich, ZH",4.5,186.0,0,8200.0,44.09,47.3620719909668,8.563936233520508,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
