type,id,lat,lon,brand,shop,addr:city,addr:housenumber,addr:postcode,opening_hours
node,264065241,47.4129519,8.5927658,,supermarket,Wallisellen,2,8304,Mo-Sa 06:30-21:00
node,264072829,47.4673262,8.293462,VOI Migros Partner,supermarket,Baden,142,5400,"Mo-Fr 07:00-20:00, Sa 07:00-18:00"
node,264793445,47.4133066,8.6189038,Coop,supermarket,,,,Mo-Fr 09:00-21:00; Sa 08:00-21:00
node,264795737,47.423028,8.6186163,Spar,supermarket,,,,
node,265064208,46.5066342,6.6712555,Denner,supermarket,,,,mo-fr 8:30-18:30; sa 8:00-17:00
node,265332275,47.5957395,8.9546224,,supermarket,,,,Mo-Sa 07:00-21:00
node,265776668,47.376417,8.5595945,Coop,supermarket,Zürich,75,8044,Mo-Fr 07:30-21:00; Sa 07:30-20:00
node,266013105,47.4763679,7.6585305,,supermarket,,,,
node,266285317,47.4544839,8.2816488,Spar,supermarket,Dättwil,,5405,Mo-Fr 07:00-20:00; Sa 07:00-17:00; PH closed
node,266571580,47.4821521,8.2094058,Migros,supermarket,Brugg,1,5200,Mo-Sa 08:00-20:00; PH off
node,266630559,47.3777162,8.5112192,,supermarket,Zürich,333,8003,Mo-Sa 07:00-22:00
node,266644613,47.1688761,7.9926369,Coop,supermarket,Schötz,27,6247,
node,266812253,47.5017295,8.5947692,Volg,supermarket,,,,
node,266864510,47.3896784,8.6173594,,supermarket,,1,,Mo-Fr 07:00-20:00; Sa 07:00-19:00
node,266914642,47.2603539,8.5972571,Migros,supermarket,Horgen,24,8810,Mo-Sa 08:00-20:00; PH off
node,266914728,47.2607952,8.5981942,Denner,supermarket,,,,
node,267344304,47.3883215,8.4965956,ALDI,supermarket,Zürich,473,8048,Mo-Sa 08:00-20:00
node,267345511,47.3858089,8.516573900000001,,supermarket,Zürich,1,8005,Mo-Fr 06:30-22:00; Sa 08:00-22:00
node,267346993,47.3855977,8.5314709,Migros,supermarket,Zürich,152,8005,Mo-Sa 07:30-20:00; PH off
node,267468996,47.3648716,8.521006,,supermarket,Zürich,20,8045,Mo-Sa 07:30-21:00
node,267761965,47.5510739,7.5804868,Coop,supermarket,,,,Mo-Fr 07:30-20:00; Sa 07:30-18:00
node,267762044,47.5501611,7.5784253,,supermarket,Basel,105,4054,Mo-Fr 07:30-19:00; Sa 07:30-18:00; Su 09:00-18:00
node,268603429,47.36736,8.5461737,Coop,supermarket,Zürich,18,8001,Mo-Fr 08:00-20:00; Sa 08:00-19:00
node,269050379,47.3544624,8.7132591,Migros,supermarket,Uster,18,8610,Mo-Sa 08:00-20:00; PH off
node,269108913,47.3516553,8.7161267,,supermarket,,,,Mo-Su 06:00-22:00
node,269616490,46.5104626,6.4978122,Coop,supermarket,Morges,4,1110,
node,269616499,46.5098409,6.4944953,Migros,supermarket,Morges,19,1110,
node,270593547,46.334173,6.1568928,,supermarket,,,,
node,270692983,47.3579403,8.5546463,Coop,supermarket,Zürich,123,8008,Mo-Sa 07:00-22:00
node,270958272,47.3583667,8.5540739,Migros,supermarket,Zürich,111-113,8008,Mo-Sa 07:30-20:00; PH off
node,271028298,47.3656781,8.5480408,Migros,supermarket,Zürich,19-21,8008,"Mo-Fr 07:00-20:00, Sa 08:00-20:00; PH off"
node,271028686,47.3667697,8.5481461,Coop,supermarket,Zürich,10,8001,Mo-Sa 06:00-22:00; Su 07:00-22:00
node,271029206,47.3645956,8.5538464,Migros,supermarket,Zürich,20,8032,Mo-Sa 08:00-20:00; PH off
node,271029581,47.3643,8.5551291,,supermarket,Zürich,4,8008,Mo-Sa 08:00-21:00
node,272768861,47.3863257,9.2787226,Coop,supermarket,,,,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-18:00
node,273529120,46.8468335,7.1920809,Migros,supermarket,,,,Mo-Th 08:00-19:00;Fr 08:00-21:00;Sa 07:30-16:00;Su off
node,273942728,47.3576104,8.5713693,Migros,supermarket,Zürich,260,8008,Mo-Sa 08:00-20:00; PH off
node,274079274,46.5059315,6.6885514,Coop,supermarket,Lutry,2,1095,Mo-Th 8:00-19:00;Fr 8:00-20:00;Sa 8:00-18:00
node,274597962,47.4935876,7.5934065,Coop,supermarket,,,,Mo-Fr 08:00-20:00; Sa 07:30-20:00
node,274598110,47.4926707,7.5943412,Migros,supermarket,Reinach BL,11,4153,"Mo-Fr 08:00-19:00, Sa 07:30-18:00; PH off"
node,274673564,47.5466265,7.5649976,Coop,supermarket,,,,
node,274716412,47.4200323,7.501762,Migros,supermarket,Laufen,4,4242,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-18:00; PH off"
node,274824641,47.3689582,8.5413011,Lidl,supermarket,Zürich,16,8001,Mo-Sa 08:00-21:00
node,276363821,47.4188884,8.5056989,Coop,supermarket,Zürich,549,8046,Mo-Sa 08:00-20:00
node,276847742,47.4356824,9.3920818,Migros,supermarket,St. Gallen,29,9008,Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 07:30-17:00; PH off
node,277204947,47.1755809,8.9022254,Coop,supermarket,Siebnen,1,8854,Mo-Fr 08:00-20:00; Sa 07:30-20:00
node,277204951,47.1759674,8.901942,Denner,supermarket,Siebnen,43,8854,Mo-Fr 08:00-20:00; Sa 07:30-20:00
node,277251363,47.4081667,9.3049269,,supermarket,,,,
node,277469387,47.7027188,8.6457825,Coop,supermarket,,,,Mo-Fr 08:00-19:00; Sa 08:00-17:00
node,277730181,47.4986607,8.7975435,,supermarket,,,,
node,277945554,47.4732061,9.4691748,Volg,supermarket,,,9403,Mo-Fr 07:00-19:00; Sa 07:00-17:00
node,279155943,47.1661059,8.2914109,Migros,supermarket,Hochdorf,5,6280,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off"
node,279310856,46.6001273,6.5378702,,supermarket,,,,"Mo-Fr 06:30-12:30,14:00-18:30; Sa 07:15-17:00; Su 08:00-12:00"
node,279370613,47.4881565,8.2924516,Migros,supermarket,Nussbaumen AG,,5415,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off"
node,279806422,47.4904784,7.5892098,Denner,supermarket,,,,
node,279818318,47.2023497,8.9418092,Volg,supermarket,,,,Mo-Sa 06:00-20:00; PH closed
node,280130028,47.1554921,9.0396663,ALDI,supermarket,Schänis,3,8718,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-17:00
node,280528081,46.9561025,7.4467039,Migros,supermarket,Bern,9,3013,"Mo-Fr 08:00-20:00, Sa 08:00-17:00; PH off"
node,280528117,46.956452,7.431997,Coop,supermarket,,,,"Mo-Fr 08:00-19:00; Sa 08:00-17:00; Su,PH closed"
node,281041474,47.2037134,8.6838242,Coop,supermarket,Richterswil,7,8805,
node,281442993,47.2084598,8.7057527,Coop,supermarket,Richterswil,14b,8805,Mo-Sa 07:00-20:00
node,281761435,46.8974507,8.2511311,Coop,supermarket,Sarnen,32,6060,
node,282021895,46.5079638,6.6248618,Migros,supermarket,Lausanne,2,1007,Mo-Sa 08:00-21:00; Su 09:00-20:00
node,282170543,46.7687712,8.692776,,supermarket,,,,
node,282645300,46.51828,6.6084931000000005,Denner,supermarket,,,,Mo-Fr 08:00-19:00; Sa 08:00-18:00
node,282648998,46.5160056,6.6137254,,supermarket,,,,Mo-Fr 8:00-19:00;Sa 8:00-17:00
node,282651595,46.5154923,6.6154668,,supermarket,,,1007,Mo-Su 08:00-22:00
node,282862307,46.7550411,7.6306619,,supermarket,,,,Mo-Th 06:00-20:00; Fr 06:00-22:00; Sa 06:00-17:00; Su 06:00-18:00
node,282874901,47.4768338,8.3085492,Migros,supermarket,Baden,40/42,5400,"Mo-Tu 08:00-19:00, We-Fr 08:00-20:00, Sa 07:30-18:00; PH off"
node,283103824,47.3936485,8.529543499999999,Coop,supermarket,Zürich,12,8037,Mo-Sa 07:00-21:00
node,283126967,47.3925235,8.5245187,Coop,supermarket,Zürich,22,8037,Mo-Sa 07:30-20:00
node,283192425,46.6585969,6.5112877000000005,,supermarket,,,,
node,283199465,47.2005652,8.7783749,Coop,supermarket,,14,,
node,283213395,46.9230886,7.4157605,Coop,supermarket,,,,Mo-Th 08:00-19:00; Fr 08:00-21:00; Sa 07:30-17:00
node,283662654,47.4083114,7.542603,Migros,supermarket,Breitenbach,4,4226,"Mo-Th 08:00-18:30, Fr 08:00-21:00, Sa 08:00-18:00; PH off"
node,283723769,46.6050145,7.922093,Coop,supermarket,,,3823,mo-su 8:00-18:30
node,284559066,47.4086995,7.5432606,,supermarket,,,,
node,285967297,47.1733921,8.4493238,,supermarket,,,,
node,286904877,46.3487378,7.1586279,,supermarket,,,,
node,286905575,46.2988807,7.0547305,Migros,supermarket,Villars-sur-Ollon,99,1884,Mo-Sa 07:30-19:00; Apr 01-Dec 19 Su 09:00-13:00; Dec 20-Mar 31 Su 09:00-18:00
node,287001910,46.9483633,7.4449955,Migros,supermarket,,,,Mo 09:00-19:00; Tu-We 08:00-19:00; Th 08:00-21:00; Fr 08:00-20:00; Sa 07:30-17:00; PH off
node,287359105,46.4947362,7.6735831,,supermarket,Kandersteg,,3718,Mo-Fr 08:00-18:30; Sa 08:00-17:00
node,287465898,47.5472376,7.5536153,Migros,supermarket,Allschwil,215,4123,"Mo-Fr 08:00-20:00, Sa 07:30-19:00; PH off"
node,289958399,47.5568506,8.5028961,,supermarket,,12,8192,Mo-Fr 07:30-20:00; Sa 10:00-22:00
node,290331752,46.5116006,6.6597671,Migros,supermarket,Pully,3,1009,Mo-Fr 08:00-20:00; Sa 07:30-18:00
node,290910760,47.0088407,7.3638002,Volg,supermarket,,,,Mo-Sa 07:00-19:00
node,291092161,46.7800543,6.6357906,Coop,supermarket,Yverdon-les-Bains,1,1400,Mo-Fr 08:00-18:30; Sa 08:00-17:00
node,291234843,46.8006438,7.1443306,,supermarket,,,,Mo-Th 07:30-19:00; Fr 07:30-21:00; Sa 07:30-16:00
node,291379304,47.0202366,8.651667,Coop,supermarket,Schwyz,2,6430,
node,291769947,46.7759171,7.1614662,Migros,supermarket,,,,
node,292331330,47.5602351,9.1316261,Landi,supermarket,,,,
node,293487431,46.7811874,6.6349389,Migros,supermarket,Yverdon-les-Bains,3,1400,Mo 08:00-18:30; Tu-Fr 07:30-18:30; Sa 07:30-18:00
node,293606027,47.5283007,8.4665709,Volg,supermarket,Stadel b. Niederglatt,5,8174,
node,294111130,47.5648179,9.0966841,,supermarket,,,,
node,295160822,47.2781272,8.5755264,Coop,supermarket,,,,
node,295259613,47.5062751,7.6000165,Coop,supermarket,,,,
node,295262648,47.5024247,7.5960558,Migros,supermarket,Reinach BL,1,4153,"Mo-Fr 08:00-19:00, Sa 08:00-17:00; PH off"
node,295316738,47.5673851,9.0956287,,supermarket,,,,Mo-Fr 09:00-19:00; Sa 09:00-17:00
node,295440192,47.4386309,8.2714315,,supermarket,,,,
node,295943800,47.5403596,9.1825256,Migros,supermarket,Sulgen,3,8583,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off"
node,297070217,46.7865726,6.6348875,,supermarket,Yverdon-les-Bains,,1400,"Mo-Fr 07:00-12:30, 13:30-19:00; Sa-Su 07:30-18:00"
node,298011050,46.7935758,7.1339387,Migros,supermarket,,,,Mo-Th 08:00-19:00; Fr 08:00-21:00; Sa 08:00-16:00
node,298476455,46.7444501,7.6138807,Migros,supermarket,Thun,62,3604,Mo-Th 08:00-20:00; Fr 08:00-21:00; Sa 07:30-17:00
node,298540222,47.2892115,8.539786,Coop,supermarket,,,,
node,298540226,47.2913031,8.5377603,Migros,supermarket,Langnau am Albis,2,8135,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off"
node,298540370,47.2942957,8.5639941,Migros,supermarket,Thalwil,130,8800,Mo-Sa 07:30-20:00; PH off
node,298540395,47.2965895,8.5620313,Coop,supermarket,,,,
node,298877642,47.523419,7.6165639,Denner,supermarket,,,,
node,299311873,46.6242026,8.0352078,Coop,supermarket,Grindelwald,101,3818,Mo-Su 08:00-19:00
node,300247419,46.991563,6.9282433,,supermarket,,,,
node,300304878,47.498353,9.451596200000001,,supermarket,,,,
node,300332412,47.3738098,8.6410653,Migros,supermarket,Fällanden,2,8117,Mo-Sa 08:00-20:00; PH off
node,300940416,46.3151473,7.9867062,Coop,supermarket,,,,
node,301037565,47.457543,8.2410544,,supermarket,,,,
node,301405956,47.5427643,8.133998,Denner,supermarket,,,,
node,301508524,47.4793014,8.9954388,,supermarket,,,,
node,301656130,47.3685372,8.7809413,Migros,supermarket,Pfäffikon ZH,9,8330,"Mo-Fr 08:00-20:00, Sa 08:00-19:00; PH off"
node,301656131,47.368887,8.7819351,,supermarket,Pfäffikon ZH,10,8330,Mo-Sa 08:00-20:00
node,301815692,47.3728259,8.5294871,,supermarket,Zürich,36,8004,Mo-Sa 08:00-20:00
node,302821909,47.3494071,8.2724788,Migros,supermarket,Wohlen,7,5610,"Mo-We 08:00-19:00, Th-Fr 08:00-20:00, Sa 07:30-18:00; PH off"
node,303310841,47.3679847,8.8775826,Migros,supermarket,Bauma,10,8494,"Mo-Fr 08:00-20:00, Sa 08:00-19:00; PH off"
node,303396946,46.0809842,7.2147765,,supermarket,,,,
node,303866553,46.5863427,6.6046686999999995,,supermarket,,2,,Mo-Fr 08:00-19:00;Sa 08:00-18:00
node,304825636,47.4578086,8.4383315,Coop,supermarket,,,,Mo-Sa 07:30-20:00
node,305206833,47.4593389,8.4016043,Aldi,supermarket,,,,Mo-Sa 07:30-20:00
node,305382465,46.0967418,7.2235515,Migros,supermarket,,,,08:00-18:00; week 39-50 Sa 08:00-17:30; week 39-50 Su off
node,305382467,46.0972862,7.2252409,Coop,supermarket,,,,
node,305708461,47.4442213,8.6265829,Denner,supermarket,Bassersdorf,26,8303,
node,305726027,47.4533937,8.6353888,Landi,supermarket,Nürensdorf,51,8309,Mo-Fr 08:00-19:00; Sa 08:00-17:00
node,307366252,47.5084495,8.7178269,,supermarket,,,8400,Mo-Fr 08:00-20:00; Sa 08:00-18:00
node,307445281,47.5577756,7.9047695000000004,,supermarket,,,,
node,307451440,47.1156503,7.2350705,,supermarket,,,,Mo-Fr 08:00-19:00; Sa 08:00-17:00; Su off
node,308188142,47.1792144,7.6623766,Volg,supermarket,,,,
node,308188423,47.1865987,7.7037027,Migros,supermarket,Herzogenbuchsee,33,3360,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 07:30-17:00; PH off"
node,308188459,47.1861491,7.7034116,Coop,supermarket,,,,Mo-Th 08:00-19:00; Fr 08:00-21:00; Sa 07:30-17:00
node,309289260,46.6390803,6.6357033,Migros,supermarket,Echallens,2,1040,Lu-Ve 07:30-19:00; Sa 07:30-18:00
node,309440070,47.4490931,8.3283703,,supermarket,,,,Mo-Fr 08:00-19:00; Sa 08:00-18:00
node,309442624,47.4501764,8.32741,Migros,supermarket,Neuenhof,19,5432,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off"
node,309683717,47.4137195,8.4794588,,supermarket,Zürich,15,8049,Mo-Sa 08:00-20:00
node,309966378,46.7093884,6.5708113,,supermarket,,,,
node,310133197,47.4195222,8.548286,Migros,supermarket,Zürich,470,8052,Mo-Sa 08:00-20:00; PH off
node,310133198,47.4211522,8.549362,,supermarket,Zürich,491,8052,Mo-Sa 08:00-20:00
node,310192859,46.0665408,8.96718,Denner,supermarket,,,,
node,310387726,46.5437592,6.6604811999999995,,supermarket,,,,
node,310390409,46.0096804,8.9646177,Coop,supermarket,,,,
node,310638188,46.3236379,10.0548484,Coop,supermarket,,,,
node,310789073,47.3748981,8.5234086,Denner,supermarket,Zürich,7,8004,Mo-Fr 08:00-20:00; Sa 08:00-18:00; PH off
node,310789178,47.3770779,8.526444399999999,,supermarket,Zürich,35,8004,Mo-Sa 07:00-22:00
node,310859990,47.4799969,8.485237099999999,Migros,supermarket,Niederhasli,20,8155,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off"
node,311351743,47.3825043,8.5479921,,supermarket,Zürich,73,8006,Mo-Sa 07:30-21:00
node,312012094,47.4114322,8.5264773,Denner,supermarket,Zürich,309,8050,Mo-Sa 08:00-20:00
node,312353267,46.0964382,7.2287177,,supermarket,,,,
node,312385262,46.9494937,7.4417109,Coop,supermarket,,,,"Mo 09:00-19:00; Tu, We 08:00-19:00; Th 08:00-21:00; Fr 08:00-20:00; Sa 08:00-17:00"
node,312649536,47.2300812,8.6725008,Coop,supermarket,Wädenswil,6,8820,
node,312649674,47.2290212,8.6678724,Migros,supermarket,Wädenswil,27,8820,Mo-Sa 08:00-20:00; PH off
node,312649975,47.2282697,8.668826,Denner,supermarket,Wädenswil,21,8820,
node,312838980,47.3791999,8.5087992,Migros,supermarket,Zürich,376,8004,Mo-Sa 08:00-21:00; PH off
node,313026968,47.3758009,8.5174447,,supermarket,Zürich,244,8004,Mo-Sa 07:00-22:00
node,313531621,47.4491879,8.4646139,,supermarket,,15,8106,Mo-Fr 08:00-19:00; Sa 08:00-16:30
node,313532055,47.4843395,8.4657426,Coop,supermarket,,,,08:00-20:00; Su off
node,314637087,46.5378674,6.3326484,,supermarket,,,,
node,315536261,47.1167083,7.2546972,,supermarket,Port,2,2562,"Mo 08:00-12:15,14:00-18:30, Tu 08:00-12:15,14:00-18:30, We 08:00-12:15,14:00-18:30, Th 08:00-12:15,14:00-18:30, Fr 08:00-12:15,14:00-18:30, Sa 08:00-16:00, Su closed"
node,316822599,47.4372358,8.4746548,Coop,supermarket,,,,Mo-Sa 08:00-21:00
node,316878197,47.5201932,8.2429122,,supermarket,,,,
node,317022079,47.5977573,9.0310966,,supermarket,,,,Mo-Sa 06:00-20:00
node,317283183,47.2439416,8.4636498,Volg,supermarket,Mettmenstetten,3,8932,Mo-Sa 06:00-20:00; PH off
node,317466812,46.873158,7.5601521,Migros,supermarket,Münsingen,5,3110,"Mo-Th 08:00-20:00, Fr 08:00-21:00, Sa 07:30-17:00; PH off"
node,320040631,47.490091,8.8996845,Denner,supermarket,,,,Mo-Fr 08:00-20:00; Sa 08:00-17:00
node,320040684,47.4930052,8.8996297,Coop,supermarket,,,,Mo-Fr 08:00-20:00; Sa 08:00-18:00
node,321216008,47.0810256,8.271125,Coop,supermarket,Emmenbrücke,4,6020,
node,321302285,47.3944387,8.7764573,,supermarket,Russikon,1,8332,
node,321320680,47.5404492,9.1838331,Coop,supermarket,,,,Mo-Fr 07:30-19:00; Sa 07:30-18:00
node,321361643,47.3925525,8.5384284,Migros,supermarket,Zürich,75,8057,Mo-Sa 07:30-21:00; PH off
node,321361788,47.395724799999996,8.5404707,Coop,supermarket,Zürich,1-5,8057,Mo-Sa 07:30-21:00
node,321491561,47.1433768,7.2726161,,supermarket,Biel/Bienne,139,2504,Mo-Th 07:00-19:00; Fr 07:00-20:00; Sa 07:00-17:00
node,321491564,47.1427895,7.2718688,VOI Migros Partner,supermarket,Biel/Bienne,2,2504,Mo-Fr 07:30-19:00; Sa 07:30-17:00
node,321805127,47.1384942,7.309449,,supermarket,,,,
node,321947542,47.3841236,8.5317649,Denner,supermarket,Zürich,18,8005,Mo-Sa 08:00-20:00
node,322007552,46.1691079,6.1209731,Coop,supermarket,,,,
node,322007712,46.1920602,6.1641437,Migros,supermarket,Genève,86,,
node,322007998,46.1933065,6.1612764,Coop,supermarket,Geneva,56,,
node,322008034,46.1908581,6.1524797,Migros,supermarket,,,,
node,322115630,46.6933976,6.7086969,,supermarket,,,,
node,322750347,46.5091493,6.3067291,,supermarket,,,,
node,323232873,47.494835,7.6203395,Coop,supermarket,,,,
node,323233592,47.4942782,7.6184684,Migros,supermarket,Arlesheim,7,4144,Mo-Th 08:00-18:30; Fr 08:00-20:00; Sa 08:00-17:00
node,323236507,47.4942966,8.3410211,Coop,supermarket,Ehrendingen,19,5420,Mo-Fr 08:00-20:00; Sa 07:30-18:00
node,323254505,47.1448936,8.431358,Denner,supermarket,Rotkreuz,31,6343,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-17:00
node,324153785,47.0383052,8.779794,,supermarket,,,,
node,324725651,46.0786418,7.1383069,Coop,supermarket,,,,Mo-Th 07:30-18:30; Sa 08:30-17:00; Fr 07:30-20:00
node,325124472,47.2811857,8.4043892,Volg,supermarket,Ottenbach,3,8913,Mo-Sa 07:00-20:00
node,325771373,46.2028071,7.1676941,,supermarket,,,,"Mo-Fr 08:00-12:30, 14:00-18:30; Sa 08:00-18:30"
node,325804799,46.1880715,7.2080965,Migros,supermarket,,,,Mo-Fr 06:30-18:30; Sa 06:30-17:00
node,331038819,47.4456555,9.1396772,Coop,supermarket,,,,Mo-Fr 08:00-19:00; Sa 08:00-17:00; Su off
node,331165091,47.0198595,7.4447016,,supermarket,,,,
node,331333697,46.6628836,9.5418208,,supermarket,Stierva,2,7459,Mo-Sa 08:30-12:30; Fr 18:00-19:00
node,332215846,47.2697351,8.6425321,Volg,supermarket,,,,
node,333367959,46.3641886,8.183671,Volg,supermarket,,,,Mo-Su 07:00-18:30
node,335780650,47.1359714,8.5845418,,supermarket,,,,
node,335990607,47.5852901,7.6517854,Migros,supermarket,Riehen,8,4125,"Mo-Fr 08:00-19:00, Sa 07:30-18:00; PH off"
node,336060971,47.4420481,9.3488374,Spar,supermarket,,,,
node,336325220,46.7253107,9.557656099999999,Spar,supermarket,Lenzerheide,27,7078,Mo-Fr 07:00-18:30;Sa 07:00-18:00
node,338156406,47.2696707,8.8208789,Volg,supermarket,,,,Mo-Sa 06:30-19:30; Su off
node,339200033,46.897311,8.2473472,Spar,supermarket,,,,
node,339744766,47.1057574,6.8330578,,supermarket,,,,
node,339793984,46.5366866,6.5763122,Migros,supermarket,,,,
node,340481159,47.0954321,8.3488772,Migros,supermarket,Buchrain,,6033,"Mo-Fr 08:00-19:00, Sa 08:00-17:00; PH off"
node,341936626,47.5018288,8.4056858,Volg,supermarket,Oberweningen,3,8165,Mo-Fr 07:00-19:00; Sa 07:00-17:00
node,341936868,47.5074632,8.3806782,Volg,supermarket,Niederweningen,2,8166,Mo-Fr 06:00-20:00; Sa 07:00-18:00
node,343050735,47.465912,8.4986623,Volg,supermarket,,,,
node,345560177,47.1743372,8.711475,,supermarket,,,,
node,345560179,47.1760321,8.7104096,,supermarket,,,,
