web-scrape,address_ra,datetime,rooms,area,luxurious,price_per_,lat,lon,UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,BEZIRKSNUM,SEE_FLAECH,REVISION_Q,NAME,KANTONSNUM,ICC,EINWOHNERZ,BFS_NUMMER,GEM_TEIL,GEM_FLAECH,SHN
1693998205-34,"Hobelwerkweg 39a, 8404 Winterthur, ZH",2023/09/06 15:10:34.000,3.500000000000000,86.000000000000000,"0",22.910000000000000,47.509494781494141,8.762660026550295,{EBBF5595-6BFC-4B52-95B2-A05F0B3B01D8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Winterthur,"1",CH,"111851","230","0",6807.000000000000000,CH01100230
1693998205-35,"Hobelwerkweg 39a, 8404 Winterthur, ZH",2023/09/06 15:10:34.000,3.500000000000000,71.000000000000000,"0",22.960000000000001,47.509494781494141,8.762660026550295,{EBBF5595-6BFC-4B52-95B2-A05F0B3B01D8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Winterthur,"1",CH,"111851","230","0",6807.000000000000000,CH01100230
1693998205-36,"Albisriederstrasse 392a, 8047 Zürich, ZH",2023/09/06 15:10:34.000,5.500000000000000,192.000000000000000,"0",25.829999999999998,47.374694824218750,8.482722282409668,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998205-37,"Tisliacherstrasse 8, 8320 Fehraltorf, ZH",2023/09/06 15:10:34.000,5.500000000000000,166.000000000000000,"0",21.079999999999998,47.383731842041016,8.760611534118652,{186D05C0-18A7-467C-81C7-63B10122AA0F},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"108",,2019_Aufbau,Fehraltorf,"1",CH,"6435","172","0",947.000000000000000,CH01080172
1693998205-38,"Buckwiesstrasse 12, 8700 Küsnacht ZH, ZH",2023/09/06 15:10:34.000,5.500000000000000,232.000000000000000,"0",36.640000000000001,47.319805145263672,8.592112541198730,{96C6C689-8B84-4463-94F7-E8A004D67D2E},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"107",0.000000000000000,2019_Aufbau,Küsnacht (ZH),"1",CH,"14397","154","0",1236.000000000000000,CH01070154
1693998205-39,"Binzigerstrasse 52, 8707 Uetikon am See, ZH",2023/09/06 15:10:34.000,6.500000000000000,300.000000000000000,"1",0.040000000000000,47.267185211181641,8.689931869506836,{1FD93563-1FC3-43B8-92A3-0C8DCF9CDB45},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"107",0.000000000000000,2019_Aufbau,Uetikon am See,"1",CH,"6176","159","0",346.000000000000000,CH01070159
1693998205-40,"Hinterdorfstr. 4, 8315 Lindau, ZH",2023/09/06 15:10:34.000,4.500000000000000,124.000000000000000,"0",22.100000000000001,47.442436218261719,8.671416282653810,{55539444-0E0E-4786-BE38-42543FEE8DE9},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"108",,2019_Aufbau,Lindau,"1",CH,"5617","176","0",1199.000000000000000,CH01080176
1693998205-41,"Dübendorfstrasse 22, 8602 Wangen b. Dübendorf, ZH",2023/09/06 15:10:34.000,3.500000000000000,94.000000000000000,"0",25.000000000000000,47.409973144531250,8.642498970031738,{05A4D7F8-DA86-4B2C-A5FE-4C784968E787},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"109",,2019_Aufbau,Wangen-Brüttisellen,"1",CH,"7906","200","0",792.000000000000000,CH01090200
1693998205-43,"Limmatstrasse 260, 8005 Zürich, ZH",2023/09/06 15:10:34.000,4.500000000000000,170.000000000000000,"0",38.820000000000000,47.389133453369141,8.525841712951660,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998205-44,"Friedenweg 5, 8192 Glattfelden, ZH",2023/09/06 15:10:34.000,3.500000000000000,100.000000000000000,"0",20.800000000000001,47.556098937988281,8.506474494934082,{6C5D79A2-E27D-48B5-AD7C-8549DF85F05E},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Glattfelden,"1",CH,"5200","58","1",1229.000000000000000,CH01030058
1693998205-45,"Niederglatterstrasse 21, 8155 Niederhasli, ZH",2023/09/06 15:10:34.000,3.500000000000000,80.000000000000000,"0",27.960000000000001,47.481819152832031,8.487357139587402,{A25BC498-E3D0-46FB-BE11-E532EC8508D4},2019/10/31,2008/11/24,"2001","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"104",,2019_Aufbau,Niederhasli,"1",CH,"9264","90","0",1130.000000000000000,CH01040090
1693998205-46,"Marktgasse 17, 8400 Winterthur, ZH",2023/09/06 15:10:34.000,4.500000000000000,160.000000000000000,"0",20.000000000000000,47.499710083007812,8.729727745056152,{EBBF5595-6BFC-4B52-95B2-A05F0B3B01D8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Winterthur,"1",CH,"111851","230","0",6807.000000000000000,CH01100230
1693998205-48,"Goldistenstrasse 23, 8625 Gossau ZH, ZH",2023/09/06 15:10:34.000,7.500000000000000,210.000000000000000,"0",20.000000000000000,47.307510375976562,8.764126777648926,{08FC7C95-BD90-41C6-95D1-DEE17F98410A},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"105",,2019_Aufbau,Gossau (ZH),"1",CH,"10222","115","0",1826.000000000000000,CH01050115
1693998210-50,"8152 Glattpark (Opfikon), ZH",2023/09/06 15:10:34.000,2.500000000000000,78.000000000000000,"0",35.259999999999998,47.424755096435547,8.563809394836426,{FB81D1E1-2108-4028-BB51-30B5C9695C50},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Opfikon,"1",CH,"20361","66","0",559.000000000000000,CH01030066
1693998210-51,"Hofackerstrasse 5, 8422 Pfungen, ZH",2023/09/06 15:10:34.000,4.500000000000000,107.000000000000000,"0",17.760000000000002,47.515235900878906,8.642589569091799,{13093797-7D96-4F72-9B79-0C3FD3481027},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Pfungen,"1",CH,"3845","224","0",499.000000000000000,CH01100224
1693998210-52,"Untere Briggerstrasse 66, 8406 Winterthur, ZH",2023/09/06 15:10:34.000,3.500000000000000,88.000000000000000,"0",25.500000000000000,47.493949890136719,8.711239814758303,{EBBF5595-6BFC-4B52-95B2-A05F0B3B01D8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Winterthur,"1",CH,"111851","230","0",6807.000000000000000,CH01100230
1693998210-53,"Bergstrasse  16, 8955 Oetwil an der Limmat, ZH",2023/09/06 15:10:34.000,5.500000000000000,282.000000000000000,"0",21.280000000000001,47.428916931152344,8.398645401000978,{4A75E424-6E4E-4034-8109-023A53B94533},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"111",,2019_Aufbau,Oetwil an der Limmat,"1",CH,"2553","246","0",277.000000000000000,CH01110246
1693998210-54,"Hagenholzstrasse 100, 8050 Zürich, ZH",2023/09/06 15:10:34.000,4.500000000000000,141.000000000000000,"0",23.469999999999999,47.414215087890625,8.558320045471191,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998210-55,"8303 Bassersdorf, ZH",2023/09/06 15:10:34.000,4.500000000000000,136.000000000000000,"0",25.000000000000000,47.441669464111328,8.630970001220703,{42C5BC3E-E1B0-44C8-A760-56EE1DF96B1C},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Bassersdorf,"1",CH,"11687","52","0",903.000000000000000,CH01030052
1693998210-56,"8152 Glattbrugg, ZH",2023/09/06 15:10:34.000,1.500000000000000,26.000000000000000,"0",61.539999999999999,47.433944702148438,8.570492744445803,{FB81D1E1-2108-4028-BB51-30B5C9695C50},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Opfikon,"1",CH,"20361","66","0",559.000000000000000,CH01030066
1693998210-57,"8182 Hochfelden, ZH",2023/09/06 15:10:34.000,5.500000000000000,148.000000000000000,"0",20.219999999999999,47.522613525390625,8.516746520996094,{0930B968-F398-4455-8787-5B4216B59222},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Hochfelden,"1",CH,"1931","59","0",617.000000000000000,CH01030059
1693998210-58,"Lehenstrasse 51, 8037 Zürich, ZH",2023/09/06 15:10:34.000,1.500000000000000,35.000000000000000,"0",49.710000000000001,47.396530151367188,8.523354530334474,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998210-59,"8180 Bülach, ZH",2023/09/06 15:10:34.000,4.000000000000000,80.000000000000000,"0",26.879999999999999,47.520030975341797,8.566342353820803,{4087FB8A-B59F-4C71-94B7-96A6452D9516},2019/10/31,2008/11/24,"2001","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Bülach,"1",CH,"20447","53","0",1609.000000000000000,CH01030053
1693998210-60,"8340 Hinwil, ZH",2023/09/06 15:10:34.000,5.500000000000000,135.000000000000000,"0",28.520000000000000,47.291812896728509,8.820669174194336,{5BB501E6-1791-4AB4-9835-D96A85346794},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"105",,2019_Aufbau,Hinwil,"1",CH,"11138","117","0",2228.000000000000000,CH01050117
1693998210-61,"Aprikosenstrasse 5, 8051 Zürich, ZH",2023/09/06 15:10:34.000,1.000000000000000,23.000000000000000,"0",69.129999999999995,47.405818939208984,8.570385932922363,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998210-62,"8800 Thalwil, ZH",2023/09/06 15:10:34.000,2.500000000000000,75.000000000000000,"0",25.329999999999998,47.291381835937507,8.557698249816896,{8B06C286-094F-4FDF-9A13-B2F63B0154A9},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"106",0.000000000000000,2019_Aufbau,Thalwil,"1",CH,"17990","141","0",550.000000000000000,CH01060141
1693998210-63,"8427 Rorbas, ZH",2023/09/06 15:10:34.000,4.500000000000000,127.000000000000000,"0",19.690000000000001,47.531398773193359,8.580067634582520,{6B540B2C-1AD4-4912-9947-31C41DA3718A},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Rorbas,"1",CH,"2830","68","0",444.000000000000000,CH01030068
1693998210-64,"Breitenstrasse 14, 8134 Adliswil, ZH",2023/09/06 15:10:34.000,3.500000000000000,71.000000000000000,"0",29.370000000000001,47.306339263916016,8.519155502319336,{5D7E5812-120E-491A-BFCD-CCED809316F4},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"106",,2019_Aufbau,Adliswil,"1",CH,"18769","131","0",777.000000000000000,CH01060131
1693998210-65,"Wallisellerstrasse 24, 8152 Glattbrugg, ZH",2023/09/06 15:10:34.000,3.500000000000000,81.000000000000000,"0",32.719999999999999,47.433418273925781,8.568982124328613,{FB81D1E1-2108-4028-BB51-30B5C9695C50},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Opfikon,"1",CH,"20361","66","0",559.000000000000000,CH01030066
1693998210-66,"8636 Wald ZH, ZH",2023/09/06 15:10:34.000,3.500000000000000,113.000000000000000,"0",19.030000000000001,47.274005889892578,8.915390968322754,{6C615A70-D133-436E-9383-91CC4716D458},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"105",,2019_Aufbau,Wald (ZH),"1",CH,"9949","120","0",2527.000000000000000,CH01050120
1693998210-67,"Wülflingerstrasse 25, 8400 Winterthur, ZH",2023/09/06 15:10:34.000,3.500000000000000,80.000000000000000,"0",24.750000000000000,47.504737854003906,8.718044281005859,{EBBF5595-6BFC-4B52-95B2-A05F0B3B01D8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Winterthur,"1",CH,"111851","230","0",6807.000000000000000,CH01100230
1693998210-69,"8041 Zürich, ZH",2023/09/06 15:10:34.000,2.500000000000000,73.000000000000000,"0",47.399999999999999,47.322402954101562,8.513796806335449,{5D7E5812-120E-491A-BFCD-CCED809316F4},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"106",,2019_Aufbau,Adliswil,"1",CH,"18769","131","0",777.000000000000000,CH01060131
1693998210-70,"Ida-Sträuli-Strasse 39, 8404 Winterthur, ZH",2023/09/06 15:10:34.000,2.500000000000000,66.000000000000000,"0",38.180000000000000,47.503120422363281,8.766748428344728,{EBBF5595-6BFC-4B52-95B2-A05F0B3B01D8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Winterthur,"1",CH,"111851","230","0",6807.000000000000000,CH01100230
1693998210-71,"Chrüzweg 4, 8805 Richterswil, ZH",2023/09/06 15:10:34.000,4.000000000000000,83.000000000000000,"0",23.800000000000001,47.208190917968750,8.706659317016602,{CB7EA0DD-6122-4339-959E-FE2AC1322FFC},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"106",0.000000000000000,2019_Aufbau,Richterswil,"1",CH,"13513","138","0",753.000000000000000,CH01060138
1693998210-72,"Herbstweg 57, 8050 Zürich, ZH",2023/09/06 15:10:34.000,3.500000000000000,71.000000000000000,"0",37.320000000000000,47.406352996826165,8.561315536499023,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998214-75,"Fangletenstrasse 6, 8180 Bülach, ZH",2023/09/06 15:10:34.000,3.500000000000000,96.000000000000000,"0",25.570000000000000,47.527351379394531,8.538234710693359,{4087FB8A-B59F-4C71-94B7-96A6452D9516},2019/10/31,2008/11/24,"2001","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Bülach,"1",CH,"20447","53","0",1609.000000000000000,CH01030053
1693998214-76,"8154 Oberglatt ZH, ZH",2023/09/06 15:10:34.000,2.500000000000000,88.000000000000000,"0",22.840000000000000,47.480068206787109,8.524243354797363,{42F2C7E8-05B7-4723-978A-E7E88C6E6EAA},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"104",,2019_Aufbau,Oberglatt,"1",CH,"7108","92","0",825.000000000000000,CH01040092
1693998214-77,"Oberdorfstrasse, 8934 Knonau, ZH",2023/09/06 15:10:34.000,4.000000000000000,240.000000000000000,"0",14.580000000000000,47.224941253662109,8.461728096008303,{0ABD95A7-183A-4CF0-8612-94EA32329227},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"101",,2019_Aufbau,Knonau,"1",CH,"2373","7","0",647.000000000000000,CH01010007
1693998214-78,"8004 Zürich, ZH",2023/09/06 15:10:34.000,2.500000000000000,45.000000000000000,"0",56.000000000000000,47.380416870117188,8.525351524353027,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998214-79,"Poststrasse, 8953 Dietikon, ZH",2023/09/06 15:10:34.000,1.000000000000000,18.000000000000000,"0",61.109999999999999,47.403568267822266,8.405932426452638,{BBB0262D-7930-4DF7-BF4C-CE1EC76DEECA},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"111",,2019_Aufbau,Dietikon,"1",CH,"27265","243","0",934.000000000000000,CH01110243
1693998214-82,"Baurstrasse 29, 8008 Zürich, ZH",2023/09/06 15:10:34.000,1.500000000000000,30.000000000000000,"0",126.329999999999998,47.355922698974609,8.554497718811035,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998214-83,"Baurstrasse 29, 8008 Zürich, ZH",2023/09/06 15:10:34.000,1.500000000000000,25.000000000000000,"0",139.599999999999994,47.355922698974609,8.554497718811035,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998214-84,"Zentralstrasse 37, 8003 Zürich, ZH",2023/09/06 15:10:34.000,2.500000000000000,75.000000000000000,"0",87.870000000000005,47.371505737304688,8.519575119018556,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998214-85,"Alter Seeweg, 8124 Maur, ZH",2023/09/06 15:10:34.000,3.500000000000000,118.000000000000000,"0",28.809999999999999,47.338848114013672,8.672297477722168,{879073E2-ED05-4518-8226-1B4C057BC6DE},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"109",0.000000000000000,2019_Aufbau,Maur,"1",CH,"10215","195","0",1477.000000000000000,CH01090195
1693998214-86,"Friedhofstrasse 9, 8104 Weiningen ZH, ZH",2023/09/06 15:10:34.000,1.000000000000000,30.000000000000000,"0",16.670000000000002,47.422191619873047,8.435792922973635,{735E7BA6-2313-4948-B2C1-44550C143EF8},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"111",,2019_Aufbau,Weiningen (ZH),"1",CH,"4832","251","0",537.000000000000000,CH01110251
1693998214-87,"8049 Zürich, ZH",2023/09/06 15:10:34.000,2.000000000000000,70.000000000000000,"0",23.210000000000001,47.407115936279297,8.494709968566896,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998214-88,"Dorfstrasse 2, 8309 Nürensdorf, ZH",2023/09/06 15:10:34.000,5.500000000000000,150.000000000000000,"0",30.000000000000000,47.458389282226562,8.638628959655762,{92756E33-9426-48D3-9634-C93A7D181EF4},2019/10/31,2008/11/24,"2001","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Nürensdorf,"1",CH,"5629","64","0",1004.000000000000000,CH01030064
1693998214-89,"Schulhausstrasse, 8180 Bülach, ZH",2023/09/06 15:10:34.000,1.000000000000000,20.000000000000000,"0",37.500000000000000,47.518493652343750,8.537640571594238,{4087FB8A-B59F-4C71-94B7-96A6452D9516},2019/10/31,2008/11/24,"2001","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"103",,2019_Aufbau,Bülach,"1",CH,"20447","53","0",1609.000000000000000,CH01030053
1693998214-90,"8400 Winterthur, ZH",2023/09/06 15:10:34.000,4.500000000000000,117.000000000000000,"0",32.320000000000000,47.498867034912109,8.722684860229492,{EBBF5595-6BFC-4B52-95B2-A05F0B3B01D8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Winterthur,"1",CH,"111851","230","0",6807.000000000000000,CH01100230
1693998214-92,"Niderdürstelenstrasse 59, 8494 Bauma, ZH",2023/09/06 15:10:34.000,3.500000000000000,73.000000000000000,"0",26.710000000000001,47.370162963867188,8.855679512023926,{A2AA4ED9-18C7-4BDD-9AF1-8D6A7A171D82},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"108",,2019_Aufbau,Bauma,"1",CH,"4965","297","0",2953.000000000000000,CH01080297
1693998214-93,"Bucheggstrasse 130, 8057 Zürich, ZH",2023/09/06 15:10:34.000,1.500000000000000,35.000000000000000,"0",51.430000000000000,47.398319244384766,8.538369178771974,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
